,id,cuisine,name,title,amount,indented,percentOfDailyNeeds
0,580502,Caribbean,Caribbean Easter Egg Dye,Calories,556k,False,27.84
1,580502,Caribbean,Caribbean Easter Egg Dye,Fat,29g,False,44.62
2,580502,Caribbean,Caribbean Easter Egg Dye,Saturated Fat,4g,True,25.37
3,580502,Caribbean,Caribbean Easter Egg Dye,Carbohydrates,65g,False,21.68
4,580502,Caribbean,Caribbean Easter Egg Dye,Sugar,5g,True,5.98
5,580502,Caribbean,Caribbean Easter Egg Dye,Cholesterol,0.0mg,False,0.0
6,580502,Caribbean,Caribbean Easter Egg Dye,Sodium,649mg,False,28.25
0,1175851,Caribbean,Caribbean Rum Punch Cocktail,Calories,304k,False,15.23
1,1175851,Caribbean,Caribbean Rum Punch Cocktail,Fat,8g,False,13.78
2,1175851,Caribbean,Caribbean Rum Punch Cocktail,Saturated Fat,1g,True,9.74
3,1175851,Caribbean,Caribbean Rum Punch Cocktail,Carbohydrates,26g,False,8.82
4,1175851,Caribbean,Caribbean Rum Punch Cocktail,Sugar,0.42g,True,0.46
5,1175851,Caribbean,Caribbean Rum Punch Cocktail,Cholesterol,113mg,False,37.8
6,1175851,Caribbean,Caribbean Rum Punch Cocktail,Sodium,136mg,False,5.92
0,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Calories,388k,False,19.43
1,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Fat,19g,False,29.27
2,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Saturated Fat,4g,True,31.19
3,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Carbohydrates,14g,False,4.76
4,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Sugar,6g,True,7.61
5,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Cholesterol,102mg,False,34.02
6,1178513,Caribbean,McDonald’s Shamrock Shake – Copycat,Sodium,532mg,False,23.17
0,274003,Caribbean,Peppermint-Mocha Delight,Calories,304k,False,15.23
1,274003,Caribbean,Peppermint-Mocha Delight,Fat,5g,False,8.5
2,274003,Caribbean,Peppermint-Mocha Delight,Saturated Fat,1g,True,6.31
3,274003,Caribbean,Peppermint-Mocha Delight,Carbohydrates,37g,False,12.35
4,274003,Caribbean,Peppermint-Mocha Delight,Sugar,8g,True,9.76
5,274003,Caribbean,Peppermint-Mocha Delight,Cholesterol,51mg,False,17.32
6,274003,Caribbean,Peppermint-Mocha Delight,Sodium,735mg,False,31.96
0,709884,Caribbean,Caribbean Truffle Pie,Calories,414k,False,20.7
1,709884,Caribbean,Caribbean Truffle Pie,Fat,18g,False,28.08
2,709884,Caribbean,Caribbean Truffle Pie,Saturated Fat,7g,True,49.48
3,709884,Caribbean,Caribbean Truffle Pie,Carbohydrates,36g,False,12.32
4,709884,Caribbean,Caribbean Truffle Pie,Sugar,13g,True,14.69
5,709884,Caribbean,Caribbean Truffle Pie,Cholesterol,65mg,False,21.92
6,709884,Caribbean,Caribbean Truffle Pie,Sodium,663mg,False,28.83
0,147099,Caribbean,Caribbean Jerk Sauce,Calories,352k,False,17.64
1,147099,Caribbean,Caribbean Jerk Sauce,Fat,15g,False,24.54
2,147099,Caribbean,Caribbean Jerk Sauce,Saturated Fat,4g,True,25.8
3,147099,Caribbean,Caribbean Jerk Sauce,Carbohydrates,13g,False,4.38
4,147099,Caribbean,Caribbean Jerk Sauce,Sugar,6g,True,6.83
5,147099,Caribbean,Caribbean Jerk Sauce,Cholesterol,102mg,False,34.02
6,147099,Caribbean,Caribbean Jerk Sauce,Sodium,523mg,False,22.75
0,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Calories,1071k,False,53.58
1,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Fat,54g,False,84.55
2,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Saturated Fat,13g,True,81.88
3,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Carbohydrates,96g,False,32.33
4,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sugar,19g,True,22.02
5,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Cholesterol,107mg,False,35.88
6,1078705,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sodium,5565mg,False,241.99
0,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Calories,371k,False,18.6
1,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Fat,6g,False,10.75
2,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Saturated Fat,1g,True,10.98
3,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Carbohydrates,36g,False,12.02
4,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sugar,24g,True,26.83
5,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Cholesterol,145mg,False,48.43
6,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Sodium,571mg,False,24.85
7,905363,Caribbean,Jamaican Toto – Caribbean Coconut Cake,Alcohol,4g,False,24.74
0,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Calories,525k,False,26.3
1,137336,Caribbean,Jerk Chicken Wings With Creamy Dipping Sauce,Fat,32g,False,50.32
