ingredients,id,title,cuisine
"[{'name': 'bay leaves', 'image': 'bay-leaves.jpg', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'beef', 'image': 'beef-cubes-raw.png', 'amount': {'metric': {'value': 1.5, 'unit': 'kg'}, 'us': {'value': 3.307, 'unit': 'lb'}}}, {'name': 'black bell pepper', 'image': 'bell-pepper-orange.png', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'butter', 'image': 'butter-sliced.jpg', 'amount': {'metric': {'value': 30.0, 'unit': 'g'}, 'us': {'value': 1.058, 'unit': 'oz'}}}, {'name': 'cayenne pepper', 'image': 'chili-powder.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'ml'}, 'us': {'value': 0.034, 'unit': 'fl. oz'}}}, {'name': 'cooking oil', 'image': 'vegetable-oil.jpg', 'amount': {'metric': {'value': 60.0, 'unit': 'ml'}, 'us': {'value': 1.921, 'unit': 'fl. oz'}}}, {'name': 'curry powder', 'image': 'curry-powder.jpg', 'amount': {'metric': {'value': 15.0, 'unit': 'ml'}, 'us': {'value': 0.507, 'unit': 'fl. oz'}}}, {'name': 'dried apricots', 'image': 'dried-apricots.jpg', 'amount': {'metric': {'value': 24.0, 'unit': ''}, 'us': {'value': 24.0, 'unit': ''}}}, {'name': 'garlic cloves', 'image': 'garlic.png', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'gingerroot', 'image': 'ginger.png', 'amount': {'metric': {'value': 15.0, 'unit': 'ml'}, 'us': {'value': 0.206, 'unit': 'fl. oz'}}}, {'name': 'ketchup', 'image': 'ketchup.png', 'amount': {'metric': {'value': 160.0, 'unit': 'ml'}, 'us': {'value': 5.489, 'unit': 'fl. oz'}}}, {'name': 'mustard', 'image': 'regular-mustard.jpg', 'amount': {'metric': {'value': 15.0, 'unit': 'ml'}, 'us': {'value': 0.534, 'unit': 'fl. oz'}}}, {'name': 'onions', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'onions', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 36.0, 'unit': ''}, 'us': {'value': 36.0, 'unit': ''}}}, {'name': 'red wine', 'image': 'red-wine.jpg', 'amount': {'metric': {'value': 100.0, 'unit': 'ml'}, 'us': {'value': 3.431, 'unit': 'fl. oz'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'soy sauce', 'image': 'soy-sauce.jpg', 'amount': {'metric': {'value': 15.0, 'unit': 'ml'}, 'us': {'value': 0.497, 'unit': 'fl. oz'}}}, {'name': 'sugar', 'image': 'sugar-in-bowl.png', 'amount': {'metric': {'value': 15.0, 'unit': 'ml'}, 'us': {'value': 0.429, 'unit': 'fl. oz'}}}, {'name': 'vinegar', 'image': 'vinegar-(white).jpg', 'amount': {'metric': {'value': 100.0, 'unit': 'ml'}, 'us': {'value': 3.645, 'unit': 'fl. oz'}}}, {'name': 'water', 'image': 'water.png', 'amount': {'metric': {'value': 50.0, 'unit': 'ml'}, 'us': {'value': 1.691, 'unit': 'fl. oz'}}}, {'name': 'worcestershire sauce', 'image': 'dark-sauce.jpg', 'amount': {'metric': {'value': 30.0, 'unit': 'ml'}, 'us': {'value': 1.179, 'unit': 'fl. oz'}}}]",208194,Healthy & Delicious: West African Vegetable Stew,African
"[{'name': 'chuck roast', 'image': 'beef-chuck-roast.png', 'amount': {'metric': {'value': 1.361, 'unit': 'kgs'}, 'us': {'value': 3.0, 'unit': 'pound'}}}, {'name': 'vegetable oil', 'image': None, 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'kosher salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'black coarse ground pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'yellow diced onion', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'sweet potato', 'image': 'sweet-potato.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'carrots', 'image': 'sliced-carrot.png', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'beef broth', 'image': 'beef-broth.png', 'amount': {'metric': {'value': 480.0, 'unit': 'ml'}, 'us': {'value': 2.0, 'unit': 'cups'}}}, {'name': 'peanut butter', 'image': 'peanut-butter.png', 'amount': {'metric': {'value': 172.0, 'unit': 'g'}, 'us': {'value': 0.6666667, 'unit': 'cup'}}}, {'name': 'tomato paste', 'image': 'tomato-paste.jpg', 'amount': {'metric': {'value': 65.5, 'unit': 'ml'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'worcestershire sauce', 'image': 'dark-sauce.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'bay leaves', 'image': 'bay-leaves.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'fresh thyme', 'image': 'thyme.jpg', 'amount': {'metric': {'value': 6.0, 'unit': 'sprigs'}, 'us': {'value': 6.0, 'unit': 'sprigs'}}}, {'name': 'hot sauce', 'image': 'hot-sauce-or-tabasco.png', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}]",550772,West African Chicken Stew – A Right Out of Well Fed 2,African
"[{'name': 'bananas', 'image': 'bananas.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'butter', 'image': 'butter-sliced.jpg', 'amount': {'metric': {'value': 56.699, 'unit': 'g'}, 'us': {'value': 2.0, 'unit': 'ounces'}}}, {'name': 'chili powder', 'image': 'chili-powder.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'coconut cream', 'image': 'coconut-cream.jpg', 'amount': {'metric': {'value': 240.0, 'unit': 'ml'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'coconut flakes', 'image': 'coconut-flakes.png', 'amount': {'metric': {'value': 42.5, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'curry powder', 'image': 'curry-powder.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'garlic powder', 'image': 'garlic-powder.png', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 56.699, 'unit': 'g'}, 'us': {'value': 2.0, 'unit': 'ounces'}}}, {'name': 'onion', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 160.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'pork', 'image': 'pork-tenderloin-raw.png', 'amount': {'metric': {'value': 907.185, 'unit': 'g'}, 'us': {'value': 2.0, 'unit': 'lbs'}}}, {'name': 'diced potatoes', 'image': 'potatoes-yukon-gold.png', 'amount': {'metric': {'value': 420.0, 'unit': 'ml'}, 'us': {'value': 2.0, 'unit': 'cups'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'turmeric', 'image': 'turmeric.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'water', 'image': 'water.png', 'amount': {'metric': {'value': 236.588, 'unit': 'ml'}, 'us': {'value': 1.0, 'unit': 'cup'}}}]",618715,African Pumpkin and Bean Soup,African
"[{'name': 'canned garbanzo beans', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 439.418, 'unit': 'g'}, 'us': {'value': 15.5, 'unit': 'ounce'}}}, {'name': 'crunchy peanut butter', 'image': None, 'amount': {'metric': {'value': 172.0, 'unit': 'ml'}, 'us': {'value': 0.6666667, 'unit': 'cup'}}}, {'name': 'garlic cloves', 'image': 'garlic.png', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'ground cumin', 'image': 'ground-cumin.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'ground thyme', 'image': 'thyme.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'long grain rice', 'image': 'rice-white-long-grain-or-basmatii-cooked.jpg', 'amount': {'metric': {'value': 185.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'onion', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'peanuts', 'image': 'peanuts.png', 'amount': {'metric': {'value': 10.0, 'unit': 'servings'}, 'us': {'value': 10.0, 'unit': 'servings'}}}, {'name': 'salsa', 'image': 'salsa.png', 'amount': {'metric': {'value': 680.389, 'unit': 'g'}, 'us': {'value': 24.0, 'unit': 'ounce'}}}, {'name': 'diced sweet potato', 'image': 'sweet-potato.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'vegetable broth', 'image': 'chicken-broth.png', 'amount': {'metric': {'value': 1.88, 'unit': 'l'}, 'us': {'value': 8.0, 'unit': 'cups'}}}, {'name': 'vegetable oil', 'image': None, 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'diced zucchini', 'image': 'zucchini.jpg', 'amount': {'metric': {'value': 124.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}]",575018,"Quick and Easy African Pork Peanut Stew, by Pork Passion Pursuit Winner Devon Delaney (Sponsored)",African
"[{'name': 'balsamic vinegar', 'image': 'balsamic-vinegar.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'canned tomatoes', 'image': 'tomatoes-canned.png', 'amount': {'metric': {'value': 793.787, 'unit': 'g'}, 'us': {'value': 28.0, 'unit': 'ounce'}}}, {'name': 'cayenne pepper', 'image': 'chili-powder.jpg', 'amount': {'metric': {'value': 0.25, 'unit': 'tsps'}, 'us': {'value': 0.25, 'unit': 'tsps'}}}, {'name': 'chicken broth', 'image': 'chicken-broth.png', 'amount': {'metric': {'value': 940.0, 'unit': 'ml'}, 'us': {'value': 4.0, 'unit': 'cups'}}}, {'name': 'creamy peanut butter', 'image': 'peanut-butter.png', 'amount': {'metric': {'value': 129.0, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'garlic', 'image': 'garlic.png', 'amount': {'metric': {'value': 1.0, 'unit': 'clove'}, 'us': {'value': 1.0, 'unit': 'clove'}}}, {'name': 'kosher salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'tsps'}, 'us': {'value': 2.0, 'unit': 'tsps'}}}, {'name': 'peanut oil', 'image': 'peanut-oil.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'salted peanuts', 'image': 'peanuts.png', 'amount': {'metric': {'value': 36.5, 'unit': 'g'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'scallions', 'image': 'spring-onions.jpg', 'amount': {'metric': {'value': 6.0, 'unit': ''}, 'us': {'value': 6.0, 'unit': ''}}}, {'name': 'canned tomato paste', 'image': 'tomato-paste.jpg', 'amount': {'metric': {'value': 170.097, 'unit': 'g'}, 'us': {'value': 6.0, 'unit': 'ounce'}}}, {'name': 'white rice', 'image': 'rice-white-long-grain-or-basmatii-cooked.jpg', 'amount': {'metric': {'value': 185.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}]",245461,African Chicken Peanut Stew,African
"[{'name': 'apricot preserves', 'image': 'apricot-jam.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'Tbsps'}, 'us': {'value': 3.0, 'unit': 'Tbsps'}}}, {'name': 'bay leaves', 'image': 'bay-leaves.jpg', 'amount': {'metric': {'value': 5.0, 'unit': ''}, 'us': {'value': 5.0, 'unit': ''}}}, {'name': 'buttermilk', 'image': 'buttermilk.jpg', 'amount': {'metric': {'value': 360.0, 'unit': 'ml'}, 'us': {'value': 1.5, 'unit': 'cups'}}}, {'name': 'carrots', 'image': 'sliced-carrot.png', 'amount': {'metric': {'value': 128.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'cayenne pepper', 'image': 'chili-powder.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'pinch'}, 'us': {'value': 1.0, 'unit': 'pinch'}}}, {'name': 'cinnamon', 'image': 'cinnamon.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'cooking oil', 'image': 'vegetable-oil.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'coriander', 'image': 'ground-coriander.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'curry powder', 'image': 'curry-powder.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'custard', 'image': 'custard.png', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'eggs', 'image': 'egg.png', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'garlic cloves', 'image': 'garlic.png', 'amount': {'metric': {'value': 4.0, 'unit': 'tsps'}, 'us': {'value': 4.0, 'unit': 'tsps'}}}, {'name': 'ginger', 'image': 'ginger.png', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'granny smith apple', 'image': 'grannysmith-apple.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'ground beef', 'image': 'fresh-ground-beef.jpg', 'amount': {'metric': {'value': 453.592, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'pound'}}}, {'name': 'ground lamb', 'image': 'meat-ground.jpg', 'amount': {'metric': {'value': 453.592, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'pound'}}}, {'name': 'fresh ground pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'low fat milk', 'image': 'milk.png', 'amount': {'metric': {'value': 236.0, 'unit': 'ml'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'onions', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 640.0, 'unit': 'g'}, 'us': {'value': 4.0, 'unit': 'cups'}}}, {'name': 'pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'pinch'}, 'us': {'value': 1.0, 'unit': 'pinch'}}}, {'name': 'white pulled pork', 'image': 'pulled-pork.png', 'amount': {'metric': {'value': 3.0, 'unit': 'slice'}, 'us': {'value': 3.0, 'unit': 'slice'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'fudge topping', 'image': 'chocolate-glaze.png', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'slivered almonds', 'image': 'almonds-slivered.png', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'dried spices', 'image': 'spices.png', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'thyme', 'image': 'thyme.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'turmeric', 'image': 'turmeric.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'tsps'}, 'us': {'value': 2.0, 'unit': 'tsps'}}}]",728651,Jollof Rice with Chicken from Ghana,African
"[{'name': 'brown onions', 'image': 'brown-onion.png', 'amount': {'metric': {'value': 2.0, 'unit': 'large'}, 'us': {'value': 2.0, 'unit': 'large'}}}, {'name': 'butter', 'image': 'butter-sliced.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'butternut squash', 'image': 'butternut-squash.jpg', 'amount': {'metric': {'value': 1.5, 'unit': 'kg'}, 'us': {'value': 3.307, 'unit': 'lb'}}}, {'name': 'chicken stock', 'image': 'chicken-broth.png', 'amount': {'metric': {'value': 500.0, 'unit': 'ml'}, 'us': {'value': 2.113, 'unit': 'cups'}}}, {'name': 'green chilies', 'image': 'red-chili.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'small'}, 'us': {'value': 3.0, 'unit': 'small'}}}, {'name': 'garlic cloves', 'image': 'garlic.png', 'amount': {'metric': {'value': 3.0, 'unit': 'small'}, 'us': {'value': 3.0, 'unit': 'small'}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'fresh pouring cream', 'image': 'fluid-cream.jpg', 'amount': {'metric': {'value': 250.0, 'unit': 'ml'}, 'us': {'value': 1.057, 'unit': 'cups'}}}, {'name': 'water', 'image': 'water.png', 'amount': {'metric': {'value': 250.0, 'unit': 'ml'}, 'us': {'value': 1.057, 'unit': 'cups'}}}]",35648,Vegetarian African Peanut Stew,African
"[{'name': 'whole chicken', 'image': 'whole-chicken.jpg', 'amount': {'metric': {'value': 870.897, 'unit': 'g'}, 'us': {'value': 4.0, 'unit': 'lb'}}}, {'name': 'Salt & Pepper', 'image': 'salt-and-pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'serving'}, 'us': {'value': 1.0, 'unit': 'serving'}}}, {'name': 'bbq spice', 'image': 'seasoning.png', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'avocado oil', 'image': 'avocado-oil.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'sweet potato', 'image': 'sweet-potato.png', 'amount': {'metric': {'value': 1.0, 'unit': 'large'}, 'us': {'value': 1.0, 'unit': 'large'}}}, {'name': 'trimmed green beans', 'image': 'green-beans-or-string-beans.jpg', 'amount': {'metric': {'value': 453.592, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'pound'}}}]",695717,North African Orange & Lamb Kebabs,African
"[{'name': 'basmati rice', 'image': 'rice-white-long-grain-or-basmatii-cooked.jpg', 'amount': {'metric': {'value': 400.0, 'unit': 'g'}, 'us': {'value': 14.109, 'unit': 'oz'}}}, {'name': 'canned tomatoes', 'image': 'tomatoes-canned.png', 'amount': {'metric': {'value': 400.0, 'unit': 'g'}, 'us': {'value': 14.109, 'unit': 'oz'}}}, {'name': 'red bell pepper', 'image': 'red-pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'red onion', 'image': 'red-onion.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'garlic clove', 'image': 'garlic.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'scotch bonnet chilli', 'image': 'habanero-pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'sunflower oil', 'image': 'vegetable-oil.jpg', 'amount': {'metric': {'value': 4.0, 'unit': 'Tbsps'}, 'us': {'value': 4.0, 'unit': 'Tbsps'}}}, {'name': 'bay leaves', 'image': 'bay-leaves.jpg', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'thyme', 'image': 'thyme.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'cayenne pepper', 'image': 'chili-powder.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'smoked paprika', 'image': 'paprika.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'ground cumin', 'image': 'ground-cumin.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'black ground pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'tomato puree', 'image': 'tomato-paste.jpg', 'amount': {'metric': {'value': 60.0, 'unit': 'g'}, 'us': {'value': 2.116, 'unit': 'oz'}}}, {'name': 'coconut oil', 'image': 'oil-coconut.jpg', 'amount': {'metric': {'value': 4.0, 'unit': 'Tbsps'}, 'us': {'value': 4.0, 'unit': 'Tbsps'}}}, {'name': 'plantains', 'image': 'plantains.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}]",925381,West African Peanut Soup,African
"[{'name': 'diced dried apricots', 'image': 'apricot.jpg', 'amount': {'metric': {'value': 100.0, 'unit': 'g'}, 'us': {'value': 3.527, 'unit': 'oz'}}}, {'name': 'couscous', 'image': 'couscous-cooked.jpg', 'amount': {'metric': {'value': 100.0, 'unit': 'g'}, 'us': {'value': 3.527, 'unit': 'oz'}}}, {'name': 'extra virgin olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbs'}, 'us': {'value': 1.0, 'unit': 'Tbs'}}}, {'name': 'fresh mint', 'image': 'mint.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbs'}, 'us': {'value': 1.0, 'unit': 'Tbs'}}}, {'name': 'diced green bell pepper', 'image': 'green-pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'lemon (juice)', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'fresh parsley', 'image': 'parsley.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbs'}, 'us': {'value': 1.0, 'unit': 'Tbs'}}}, {'name': 'pomegranate seeds', 'image': 'pomegranate-seeds.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'servings'}, 'us': {'value': 3.0, 'unit': 'servings'}}}, {'name': 'ras-el-hanout', 'image': 'seasoning.png', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'black Salt & Pepper', 'image': 'salt-and-pepper.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'servings'}, 'us': {'value': 3.0, 'unit': 'servings'}}}, {'name': 'sherry vinegar', 'image': 'dark-sauce.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'tsps'}, 'us': {'value': 2.0, 'unit': 'tsps'}}}, {'name': 'water', 'image': 'water.png', 'amount': {'metric': {'value': 3.0, 'unit': 'servings'}, 'us': {'value': 3.0, 'unit': 'servings'}}}]",21813,African Black-eyed Pea Salad,African
