ingredients,id,title,cuisine
"[{'name': 'avocados', 'image': 'avocado.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'canned garbanzo beans', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 425.243, 'unit': 'g'}, 'us': {'value': 15.0, 'unit': 'oz'}}}, {'name': 'garlic cloves', 'image': 'garlic.png', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'lemon zest', 'image': 'zest-lemon.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'servings'}, 'us': {'value': 3.0, 'unit': 'servings'}}}, {'name': 'paprika', 'image': 'paprika.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'servings'}, 'us': {'value': 3.0, 'unit': 'servings'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'servings'}, 'us': {'value': 3.0, 'unit': 'servings'}}}, {'name': 'tahini', 'image': 'tahini-paste.png', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}]",31532,Chickpea Falafel,Middle Eastern
"[{'name': 'cucumbers', 'image': 'cucumber.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'extra virgin olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 72.0, 'unit': 'ml'}, 'us': {'value': 0.33333334, 'unit': 'cup'}}}, {'name': 'diced green pepper', 'image': 'green-pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'ground sumac', 'image': 'dried-sumac.jpg', 'amount': {'metric': {'value': 1.5, 'unit': 'tsps'}, 'us': {'value': 1.5, 'unit': 'tsps'}}}, {'name': 'fresh lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 61.0, 'unit': 'ml'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'fresh mint', 'image': 'mint.jpg', 'amount': {'metric': {'value': 22.5, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'parsley', 'image': 'parsley.jpg', 'amount': {'metric': {'value': 30.0, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'pita breads', 'image': 'pita-bread.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'large'}, 'us': {'value': 2.0, 'unit': 'large'}}}, {'name': 'romaine lettuce', 'image': 'romaine.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'head'}, 'us': {'value': 0.5, 'unit': 'head'}}}, {'name': 'black salt and pepper', 'image': 'salt-and-pepper.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'servings'}, 'us': {'value': 2.0, 'unit': 'servings'}}}, {'name': 'white scallions', 'image': 'spring-onions.jpg', 'amount': {'metric': {'value': 4.0, 'unit': ''}, 'us': {'value': 4.0, 'unit': ''}}}, {'name': 'tomatoes', 'image': 'tomato.png', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}]",711281,Roasted Beet Hummus (VIDEO),Middle Eastern
"[{'name': 'black pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 0.25, 'unit': 'tsps'}, 'us': {'value': 0.25, 'unit': 'tsps'}}}, {'name': 'diced cucumbers', 'image': 'cucumber.jpg', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'fresh parsley', 'image': 'parsley.jpg', 'amount': {'metric': {'value': 60.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'diced green onions', 'image': 'spring-onions.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'bunches'}, 'us': {'value': 2.0, 'unit': 'bunches'}}}, {'name': 'fresh lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 61.0, 'unit': 'ml'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'quinoa', 'image': 'uncooked-quinoa.png', 'amount': {'metric': {'value': 170.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'sea salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'diced tomatoes', 'image': 'tomato.png', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'water', 'image': 'water.png', 'amount': {'metric': {'value': 473.176, 'unit': 'ml'}, 'us': {'value': 2.0, 'unit': 'cups'}}}]",1418009,Tabbouleh Salad,Middle Eastern
"[{'name': 'broccoli florets', 'image': 'broccoli.jpg', 'amount': {'metric': {'value': 227.5, 'unit': 'g'}, 'us': {'value': 2.5, 'unit': 'cups'}}}, {'name': 'canned chickpeas', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 425.243, 'unit': 'g'}, 'us': {'value': 15.0, 'unit': 'ounce'}}}, {'name': 'garlic', 'image': 'garlic.png', 'amount': {'metric': {'value': 2.0, 'unit': 'cloves'}, 'us': {'value': 2.0, 'unit': 'cloves'}}}, {'name': 'lemon (juice)', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'lemon zest', 'image': 'zest-lemon.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'servings'}, 'us': {'value': 2.0, 'unit': 'servings'}}}, {'name': 'pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 0.125, 'unit': 'tsps'}, 'us': {'value': 0.125, 'unit': 'tsps'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'tahini', 'image': 'tahini-paste.png', 'amount': {'metric': {'value': 3.0, 'unit': 'Tbsps'}, 'us': {'value': 3.0, 'unit': 'Tbsps'}}}]",100251,Garlicky Hummus,Middle Eastern
"[{'name': 'cooked chickpeas', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 1.0, 'unit': 'can'}, 'us': {'value': 1.0, 'unit': 'can'}}}, {'name': 'garlic', 'image': 'garlic.png', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 0.5, 'unit': ''}, 'us': {'value': 0.5, 'unit': ''}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'red bell peppers', 'image': 'red-pepper.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'green red chilies', 'image': 'red-chili.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'serving'}, 'us': {'value': 1.0, 'unit': 'serving'}}}, {'name': 'tahini', 'image': 'tahini-paste.png', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}]",31526,Falafel,Middle Eastern
"[{'name': 'cooked chickpeas', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 328.0, 'unit': 'g'}, 'us': {'value': 2.0, 'unit': 'cups'}}}, {'name': 'chili powder', 'image': 'chili-powder.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'garlic', 'image': 'garlic.png', 'amount': {'metric': {'value': 2.0, 'unit': 'cloves'}, 'us': {'value': 2.0, 'unit': 'cloves'}}}, {'name': 'jalapeno chiles', 'image': 'jalapeno-pepper.png', 'amount': {'metric': {'value': 0.5, 'unit': ''}, 'us': {'value': 0.5, 'unit': ''}}}, {'name': 'kale', 'image': 'kale.jpg', 'amount': {'metric': {'value': 42.524, 'unit': 'g'}, 'us': {'value': 1.5, 'unit': 'ounces'}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'Tbsps'}, 'us': {'value': 2.0, 'unit': 'Tbsps'}}}, {'name': 'salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'sesame seeds', 'image': 'sesame-seeds.png', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'black sesame seeds', 'image': 'sesame-seeds.png', 'amount': {'metric': {'value': 8.0, 'unit': 'servings'}, 'us': {'value': 8.0, 'unit': 'servings'}}}, {'name': 'vegetable broth', 'image': 'chicken-broth.png', 'amount': {'metric': {'value': 78.333, 'unit': 'ml'}, 'us': {'value': 0.33333334, 'unit': 'cup'}}}]",80786,Roasted Jalapeño And Lime Hummus,Middle Eastern
"[{'name': 'baby spinach', 'image': 'spinach.jpg', 'amount': {'metric': {'value': 120.0, 'unit': 'g'}, 'us': {'value': 4.0, 'unit': 'cups'}}}, {'name': 'basil', 'image': 'fresh-basil.jpg', 'amount': {'metric': {'value': 8.0, 'unit': 'g'}, 'us': {'value': 0.33333334, 'unit': 'cup'}}}, {'name': 'bread', 'image': 'white-bread.jpg', 'amount': {'metric': {'value': 8.0, 'unit': 'slice'}, 'us': {'value': 8.0, 'unit': 'slice'}}}, {'name': 'cooked chickpeas', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 656.0, 'unit': 'g'}, 'us': {'value': 4.0, 'unit': 'cups'}}}, {'name': 'garlic', 'image': 'garlic.png', 'amount': {'metric': {'value': 1.0, 'unit': 'head'}, 'us': {'value': 1.0, 'unit': 'head'}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 4.0, 'unit': 'Tbsps'}, 'us': {'value': 4.0, 'unit': 'Tbsps'}}}, {'name': 'black salt and pepper', 'image': 'salt-and-pepper.jpg', 'amount': {'metric': {'value': 4.0, 'unit': 'servings'}, 'us': {'value': 4.0, 'unit': 'servings'}}}, {'name': 'tahini', 'image': 'tahini-paste.png', 'amount': {'metric': {'value': 60.0, 'unit': 'ml'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'zucchini', 'image': 'zucchini.jpg', 'amount': {'metric': {'value': 2.0, 'unit': ''}, 'us': {'value': 2.0, 'unit': ''}}}]",210019,Lebanese poussin with spiced aubergine pilaf,Middle Eastern
"[{'name': 'black pepper', 'image': 'pepper.jpg', 'amount': {'metric': {'value': 0.5, 'unit': 'tsps'}, 'us': {'value': 0.5, 'unit': 'tsps'}}}, {'name': 'dried chickpeas', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 200.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'fresh cilantro leaves', 'image': 'cilantro.png', 'amount': {'metric': {'value': 8.0, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'fresh parsley leaves', 'image': 'parsley.jpg', 'amount': {'metric': {'value': 30.0, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'garlic cloves', 'image': 'garlic.png', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'ground cinnamon', 'image': 'cinnamon.jpg', 'amount': {'metric': {'value': 0.125, 'unit': 'tsps'}, 'us': {'value': 0.125, 'unit': 'tsps'}}}, {'name': 'ground cumin', 'image': 'ground-cumin.jpg', 'amount': {'metric': {'value': 0.25, 'unit': 'tsps'}, 'us': {'value': 0.25, 'unit': 'tsps'}}}, {'name': 'kosher salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'tsp'}, 'us': {'value': 1.0, 'unit': 'tsp'}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'Tbsps'}, 'us': {'value': 3.0, 'unit': 'Tbsps'}}}, {'name': 'red onion', 'image': 'red-onion.png', 'amount': {'metric': {'value': 53.333, 'unit': 'g'}, 'us': {'value': 0.33333334, 'unit': 'cup'}}}]",493821,Hummus And Cauliflower Tartines,Middle Eastern
"[{'name': 'cherry tomatoes', 'image': 'cherry-tomatoes.png', 'amount': {'metric': {'value': 1.052, 'unit': 'pts'}, 'us': {'value': 1.052, 'unit': 'pts'}}}, {'name': 'diced english cucumber', 'image': 'english-cucumber.png', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'fresh flat-leaf parsley', 'image': 'parsley.jpg', 'amount': {'metric': {'value': 240.0, 'unit': 'g'}, 'us': {'value': 4.0, 'unit': 'cups'}}}, {'name': 'fresh mint leaves', 'image': 'mint.jpg', 'amount': {'metric': {'value': 22.5, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'kosher salt', 'image': 'salt.jpg', 'amount': {'metric': {'value': 6.0, 'unit': 'servings'}, 'us': {'value': 6.0, 'unit': 'servings'}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 122.0, 'unit': 'ml'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'nutmeg', 'image': 'ground-nutmeg.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'pinch'}, 'us': {'value': 1.0, 'unit': 'pinch'}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 54.0, 'unit': 'ml'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'red white quinoa', 'image': 'uncooked-quinoa.png', 'amount': {'metric': {'value': 85.0, 'unit': 'g'}, 'us': {'value': 0.5, 'unit': 'cup'}}}, {'name': 'canned roasted red peppers', 'image': 'red-pepper.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'handful'}, 'us': {'value': 1.0, 'unit': 'handful'}}}]",562597,Mediterranean Raw Wrap With Red Pepper and Bean Free Hummus,Middle Eastern
"[{'name': 'arugula leaves', 'image': 'arugula-or-rocket-salad.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'handfuls'}, 'us': {'value': 2.0, 'unit': 'handfuls'}}}, {'name': 'baby greens', 'image': 'mixed-greens-or-mesclun.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'handfuls'}, 'us': {'value': 3.0, 'unit': 'handfuls'}}}, {'name': 'balsamic vinegar', 'image': 'balsamic-vinegar.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'beet', 'image': 'beets.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'carrots', 'image': 'sliced-carrot.png', 'amount': {'metric': {'value': 1.0, 'unit': 'small'}, 'us': {'value': 1.0, 'unit': 'small'}}}, {'name': 'cooked chickpeas', 'image': 'chickpeas.png', 'amount': {'metric': {'value': 164.0, 'unit': 'g'}, 'us': {'value': 1.0, 'unit': 'cup'}}}, {'name': 'feta cheese', 'image': 'feta.png', 'amount': {'metric': {'value': 37.5, 'unit': 'g'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'hummus', 'image': 'hummus.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'Tbsp'}, 'us': {'value': 1.0, 'unit': 'Tbsp'}}}, {'name': 'lemon (juice)', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 1.0, 'unit': ''}, 'us': {'value': 1.0, 'unit': ''}}}, {'name': 'lemon juice', 'image': 'lemon-juice.jpg', 'amount': {'metric': {'value': 3.0, 'unit': ''}, 'us': {'value': 3.0, 'unit': ''}}}, {'name': 'olive oil', 'image': 'olive-oil.jpg', 'amount': {'metric': {'value': 3.0, 'unit': 'Tbsps'}, 'us': {'value': 3.0, 'unit': 'Tbsps'}}}, {'name': 'pine nuts', 'image': 'pine-nuts.png', 'amount': {'metric': {'value': 33.75, 'unit': 'g'}, 'us': {'value': 0.25, 'unit': 'cup'}}}, {'name': 'red pepper flakes', 'image': 'red-pepper-flakes.jpg', 'amount': {'metric': {'value': 1.0, 'unit': 'pinches'}, 'us': {'value': 1.0, 'unit': 'pinches'}}}, {'name': 'Salt & Pepper', 'image': 'salt-and-pepper.jpg', 'amount': {'metric': {'value': 2.0, 'unit': 'servings'}, 'us': {'value': 2.0, 'unit': 'servings'}}}]",986455,Easy Lebanese Salad,Middle Eastern
