sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
43.96,100.0,38.27,19.54,58.88,59.73,1017016.26,314135,North African Inspired Rub for Fish and Chicken,African
29.4,100.0,27.91,21.68,56.64,59.12,520000.0,715038,Harissa Shakshuka (North African Eggs in Purgatory),African
29.85,100.0,22.66,23.01,55.84,88.42,0.0,653275,North African Chickpea Soup,African
100.0,75.42,16.31,26.13,32.23,56.96,0.0,47119,South African Beef Curry,African
100.0,41.87,91.91,27.47,24.92,81.58,20000.0,122714,West African Tropical Fruit Salad,African
100.0,63.63,28.58,26.71,73.75,71.59,4000.0,306409,North African Meatballs,African
67.06,21.8,15.31,32.48,4.22,100.0,10125000.0,75335,North African Spiced Turkey With Avocado-grapefruit Relish,African
17.33,100.0,19.03,21.9,68.45,57.54,0.0,124234,Frans's Prizewinning Bobotie,African
100.0,20.86,45.76,19.78,17.59,88.01,2327950.0,559156,East African Braised Chicken,African
85.69,88.01,76.91,100.0,46.09,49.15,5950.0,875497,Vegan Jollof Rice,African
33.67,100.0,33.18,19.0,54.92,71.96,0.0,374273,African Chicken & Sweet Potatoes,African
39.44,100.0,31.67,35.94,55.36,58.15,491900.0,1417893,One-Pot Jollof Rice,African
43.0,100.0,66.58,62.2,56.38,61.11,0.0,122711,African Tropical Fruit Salad,African
43.1,100.0,58.35,54.56,54.36,80.5,5950.0,494465,Sweetpotato African Peanut Soup,African
22.96,100.0,18.62,25.44,65.93,85.57,4000.0,122712,North African Quick Tagine-Style Chicken,African
47.66,100.0,13.29,22.49,38.69,64.41,12000.0,82224,Spicy North African Pork Tenderloin,African
66.46,96.01,59.81,21.47,30.06,100.0,5587.5,1094081,South African chutney chicken,African
63.06,100.0,22.25,27.91,55.73,63.22,0.0,112385,African Chicken in Spicy Red Sauce,African
27.96,100.0,37.3,24.99,66.73,72.09,5950.0,121879,East African Sweet Potato Pudding,African
23.49,100.0,17.5,24.04,59.01,68.38,10000.0,15888,North African Lamb Stew,African
17.2,100.0,33.38,30.56,59.75,76.85,0.0,122715,African Mango Fool,African
67.95,59.77,100.0,33.28,28.1,37.59,11900.0,56798,East African Braised Chicken,African
100.0,66.06,25.11,82.39,7.54,20.58,10000.0,142981,South African Orange Chicken,African
49.1,89.16,33.96,100.0,15.55,20.35,0.0,144360,North African Seasoning Mix,African
34.01,100.0,27.0,25.01,68.03,64.23,11175.0,359496,Grilled Butterflied Lamb with African Spices and Herbed Yogurt,African
10.08,100.0,20.32,21.45,70.27,59.45,0.0,132188,Mealie Pie,African
43.84,1.65,37.47,21.1,4.11,100.0,320000.0,470413,African Curry,African
27.48,100.0,31.18,25.16,55.12,59.98,0.0,181340,African Squash and Yams,African
21.38,100.0,9.5,10.61,23.27,68.71,0.0,149671,Grilled Chicken Breasts with North African Spice Paste,African
28.38,100.0,35.37,24.16,70.07,79.03,3375000.0,163315,West African Peanut-Chicken Stew,African
79.9,28.81,11.73,32.44,4.34,100.0,177500.0,124172,Bananas Ghana,African
35.46,100.0,45.13,57.13,38.87,59.37,0.0,1528405,South African Bobotie (Beef Curry Casserole),African
92.75,78.34,41.54,100.0,28.7,92.17,0.0,123945,Bobotie,African
100.0,6.8,0.0,0.0,0.0,82.17,493500.0,79142,Melktert – Milk Tart,African
35.32,100.0,45.87,21.55,61.37,53.74,73500.0,97446,L'ham Lahlou - Algerian / North African Sweet Lamb Dish.,African
97.29,37.16,100.0,25.42,23.32,68.92,0.0,1187913,Saucy North African Lamb Meatballs – Lamb Kofta,African
49.28,29.32,12.52,34.64,4.63,100.0,913675.0,124006,Bananas Ghana,African
37.14,100.0,47.93,83.16,28.38,36.07,0.0,103782,Hélène's South African Casserole,African
40.29,100.0,43.16,22.25,71.36,73.77,20000.0,269428,Slow-Cooked South African BBQ Chicken,African
34.24,28.14,100.0,71.01,6.93,63.09,5950.0,697070,African Peanut Soup,African
100.0,19.45,4.65,25.61,0.0,81.84,45950.0,136481,North African Chicken,African
20.75,100.0,12.79,20.7,22.66,65.79,0.0,1437831,Piri Piri Chicken (Nando’s Chicken),African
