sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
100.0,44.25,97.58,38.63,22.14,44.58,8200.0,758091,Jack Burgers,American
100.0,48.26,10.31,2.98,29.82,53.99,0.0,616151,Sweet Potato Lentil Chili,American
8.56,3.64,0.0,0.0,0.0,100.0,160000.0,758521,Black Bean-Quinoa Burgers,American
98.8,60.79,10.53,27.4,33.21,100.0,0.0,574081,Healthy Low Fat Burgers,American
100.0,3.65,0.0,0.0,0.0,43.5,0.0,510331,Dill Salmon Burgers,American
54.99,79.09,76.24,100.0,22.16,23.54,3750.0,589976,One Pot Stovetop Creamy Kale Mac and Cheese : For the Adult in Me,American
89.81,67.93,100.0,55.17,35.33,31.8,11900.0,196022,Easy Pork and Three Bean Chili,American
42.95,100.0,53.9,19.02,73.03,77.63,4000.0,759606,Chili Con Tempeh,American
100.0,54.83,93.65,36.88,31.59,53.19,3725.0,695017,Chickpea Burgers,American
78.97,38.95,100.0,32.6,23.71,29.5,371000.0,597445,Chili Dog Casserole,American
45.64,100.0,48.9,28.71,62.63,57.34,7400.0,721652,Kale and Romaine Chicken Caesar Salad,American
63.12,100.0,47.92,33.37,42.73,56.83,31900.0,560347,Blackened Soy Ahi Burger,American
56.18,100.0,34.62,67.96,50.61,91.13,0.0,809812,Garlic + Basil Chickpea Veggie Burgers with Creamy Avocado Pesto,American
72.26,100.0,58.3,73.43,87.82,85.12,0.0,580305,Easy Crock Pot BBQ Pulled Pork,American
47.63,100.0,41.81,82.86,36.84,87.09,3375000.0,628942,Gluten Free Chicken Chili (No Beans),American
39.45,100.0,40.12,22.16,70.27,58.32,2255950.0,250548,Oven-Baked Zucchini Fries,American
82.76,100.0,0.0,0.0,0.0,74.75,0.0,473928,for Crockpot Chicken and Bean Chili and Chili Cheese Dip,American
90.9,53.49,100.0,30.99,32.31,39.7,40000.0,482713,Spicy Chipotle Black Bean Burgers,American
18.77,100.0,29.75,20.45,67.97,62.76,0.0,248908,Grownup Dairy-Free Mac and Cheese,American
100.0,89.53,64.13,57.0,40.21,41.39,31500.0,629436,Classic Smashed Cheeseburger,American
100.0,61.86,47.19,37.58,82.41,73.61,900000.0,442231,The Ultimate Chili,American
28.91,100.0,19.62,17.88,69.74,74.33,0.0,759794,Chicago Diner Burgers,American
81.03,94.16,100.0,56.4,51.7,47.14,14919525.0,15200,Easy Turkey Chili With Kale,American
37.09,100.0,50.8,40.56,58.35,45.58,900000.0,33810,Red Lentil Thai Chili,American
87.99,8.24,16.32,11.59,1.13,100.0,170000.0,496356,White Bean Chili,American
19.41,100.0,14.24,25.49,22.76,60.48,0.0,695351,Cincinnati Chili,American
100.0,23.69,64.85,16.48,15.12,84.26,6816800.0,529823,Roasted Broccolette and Cod with Orange Chili Hoisin Sauce,American
100.0,35.45,86.1,21.88,20.08,21.73,65950.0,506426,Vegetarian Chili Pizza,American
24.0,100.0,9.44,10.54,23.12,86.14,37250.0,560062,Sweet Chili Pineapple Pork Stir Fry,American
49.4,100.0,57.0,56.6,77.81,60.77,2193625.0,542877,Three Cheese Pumpkin Macaroni and Cheese,American
67.28,100.0,45.66,51.6,60.78,52.19,11257450.0,535710,Baked Asparagus Fries,American
96.31,34.08,100.0,25.42,23.32,29.64,11900.0,729446,Kale & Salmon Caesar Salad,American
100.0,0.49,0.0,0.0,0.0,4.9,0.0,794588,Slow Cooker Honey Sriracha Pulled Pork Quinoa Bowls,American
47.79,100.0,78.71,40.82,49.58,55.38,0.0,620422,Sweet Pulled Pork Enchiladas,American
18.09,8.05,0.3,0.37,1.55,100.0,5950.0,577400,Lentil Sloppy Joe Sliders,American
87.41,36.12,100.0,25.42,23.32,19.7,8200.0,540319,Curry Turkey Burgers,American
72.06,47.59,100.0,28.91,31.59,23.84,159450.0,473936,Southwestern Bean Burgers,American
82.4,88.91,100.0,40.58,46.49,88.77,5950.0,21719,Portobello Mushroom Burger with Homemade Fries,American
85.37,66.25,100.0,35.54,39.65,53.54,9607975.0,754996,Vegetable and Bean Chili,American
76.8,9.14,0.0,0.0,0.0,100.0,1125000.0,476023,Club Burger Sliders with Avocado-Ranch Dressing {Saturdays with Rachael Ray},American
93.82,57.35,54.35,47.09,100.0,82.51,61.6,666482,Mexican Burgers,American
100.0,37.98,27.03,64.19,5.98,11.34,3375000.0,952560,Slow-Roasted Salmon with Sweet Chili Glaze and Scallions,American
81.34,47.8,100.0,46.9,24.07,24.67,85400.0,666835,Sweet Potato Black Bean Veggie Burger,American
96.11,81.22,100.0,74.66,34.79,43.05,5068450.0,486684,Chili Pot Roast,American
100.0,38.88,3.94,2.03,18.93,63.92,14900.0,516948,Chili Stuffed Peppers with Black Beans and Mushrooms,American
50.97,100.0,51.23,23.21,72.22,94.88,7500.0,761582,Chipotle Chili Non-Carne,American
59.41,100.0,74.29,71.19,36.68,53.11,0.0,589745,Vegetarian Chili with Fresh Roasted Chilies- Memories from a Veg Head,American
100.0,38.36,85.5,40.96,18.9,40.89,3375000.0,559564,Chickpea-Brown Rice Veggie Burgers,American
100.0,66.78,11.84,41.67,22.66,42.92,238112.5,31833,Spicy Vegetarian Chili,American
18.1,100.0,12.85,12.55,70.88,83.95,4971900.0,800454,Slow Cooker Peruvian Pulled Pork Cauliflower Rice Bowls,American
73.57,31.81,5.73,31.57,0.0,100.0,0.0,489109,Easy White Chicken Chili,American
59.35,68.14,33.12,26.05,59.35,100.0,0.0,577594,Southwest Black Bean + Rice Veggie Burgers,American
100.0,87.18,7.81,22.1,26.14,80.51,77225.0,12277,"Lentil, Date & Tomato Salad with Chilli Oil Tahini Dressing",American
84.78,100.0,59.82,66.85,93.08,80.37,300000.0,695384,Buffalo & Black Bean Chili,American
36.0,100.0,17.8,18.35,70.45,85.92,444500.0,315106,Ranch-Style Turkey Chili,American
20.26,100.0,17.12,23.81,55.99,71.6,0.0,507046,Rosemary Lemon Garlic Rutabaga Fries,American
18.28,100.0,9.5,10.61,23.28,67.11,0.0,763649,Moroccan Chicken Burgers with Special Sauce,American
41.82,57.15,100.0,66.71,44.44,34.56,0.0,561429,Hot Dog Stir-Fry,American
88.08,53.71,54.17,47.18,100.0,70.7,148750.0,213675,Quick bean & chorizo chilli,American
100.0,39.37,96.43,24.51,22.49,55.55,0.0,525499,Thai Steak Salad with Roasted Chili Mango Vinaigrette,American
32.81,100.0,21.86,30.65,45.45,37.65,11175.0,611594,Slow Cooker BBQ Pulled Pork,American
35.81,100.0,39.36,21.82,69.31,56.55,8504850.0,584993,Paleo Green Bean Casserole (Also Vegan and Gluten-Free),American
30.47,11.46,39.79,100.0,7.82,10.62,64400.0,577335,Spicy Chili and Arugula Penne,American
26.41,100.0,49.52,73.05,42.99,66.32,0.0,211522,BBQ pulled pork sandwich,American
100.0,15.0,28.09,40.54,14.21,70.97,22350.0,547151,Dinner for Two: Fiery Turkey Burgers with Creamy Feta Sauce,American
18.22,100.0,9.49,10.59,23.23,70.65,9000.0,21729,Baked Sweet Potatoes With Chili Beans,American
77.37,85.07,11.78,10.78,47.22,100.0,0.0,1040586,One-Pot Vegan Pumpkin Chili,American
37.76,12.93,18.86,19.11,2.14,100.0,450000.0,573128,Bacon Jalapeño Jack Burgers,American
42.82,100.0,44.92,37.05,79.56,68.53,0.0,2738,Oven-baked Fish And Sweet Potato Fries,American
100.0,29.09,80.96,20.75,19.45,60.0,5950.0,837194,Pineapple Black Bean Slow Cooker Turkey Chili,American
7.58,1.3,0.0,0.0,0.0,100.0,0.0,552598,Red Lentil Chili,American
53.05,82.37,100.0,69.22,50.34,79.26,0.0,490439,Crockpot Vegetarian Chili with Farro,American
36.98,95.18,47.76,94.64,42.08,100.0,0.0,528098,Baked Avocado Fries,American
53.55,100.0,10.63,5.47,51.01,80.96,190975.0,521917,Spicy White Chili,American
74.04,53.39,100.0,28.22,24.19,75.57,0.0,611546,15 minute Stove-Top Macaroni and Cheese,American
50.6,100.0,41.92,33.61,60.07,48.56,0.0,495134,Veggie-Loaded Chili (and it’s freezer-friendly!),American
100.0,35.58,84.78,28.25,19.47,20.38,85400.0,720738,Chickpea Burgers with Spinach,American
100.0,40.12,63.71,87.37,3.81,37.47,0.0,679999,Vegetarian Lentil Chili + Giveaway,American
65.4,100.0,47.55,60.52,48.24,53.12,900000.0,695278,Mozzarella-Stuffed Turkey Burgers,American
100.0,29.48,85.85,21.82,20.02,38.34,8504850.0,577613,Buffalo Chickpea and Bulgur Chili,American
100.0,3.98,0.0,0.0,0.0,34.59,8400.0,470077,Thai Tuna Burgers,American
80.03,74.37,100.0,83.35,26.47,36.34,7500.0,247930,Crispy Baked Asparagus Fries,American
79.16,34.02,100.0,25.42,23.32,21.67,4100.0,771488,Spaghetti Squash Cincinnati Chili,American
100.0,20.07,36.83,37.85,75.71,47.47,0.0,478424,Chili Got A Re-Do,American
100.0,35.27,96.91,24.68,22.97,24.75,45950.0,427541,The Most Amazing Vegan Chili,American
100.0,7.4,0.0,0.0,0.0,9.91,74900.0,401114,White Bean and Chicken Chili,American
85.1,76.1,93.76,37.22,43.46,100.0,8200.0,791715,Saucy Fries,American
85.54,100.0,59.74,66.76,92.96,80.98,15000.0,555575,Green Chile and Avocado-Mayo Burger,American
99.98,92.28,41.57,46.44,43.72,100.0,5950.0,562581,6-Bean Slow Cooker Chili with Sweet Peppers,American
22.16,100.0,15.37,17.31,69.95,60.72,9180189.5,512679,Butternut Squash and Chickpea Chili,American
18.27,100.0,9.53,10.63,23.33,69.32,0.0,601801,Black Bean Veggie Burgers,American
100.0,2.06,0.0,0.0,0.0,61.01,0.0,478461,Spicy Oven Baked French Fries with Cucumber Raita,American
19.24,59.24,91.38,64.37,12.06,100.0,600000.0,536738,Slow Cooker Barbecue Pulled Pork,American
8.56,69.71,3.37,1.57,9.18,100.0,600000.0,563799,Chicken Tetrazzini with Zucchini Noodles,American
100.0,74.01,31.44,24.94,41.0,60.52,90100.0,628732,Veggie Chili,American
71.75,100.0,92.34,59.52,49.39,43.98,1210400.0,12487,Sweet Potato Black Bean Burgers,American
100.0,7.07,36.49,10.54,3.05,69.5,0.0,527478,"Spaghetti Aglio, Olio E Peperoncino (Spaghetti With Garlic, Olive Oil & Chili Peppers)",American
53.58,100.0,44.95,43.33,58.14,49.31,10500.0,81848,Cynthia’s Spicy Shredded Pork,American
34.16,100.0,14.24,23.76,67.02,55.25,2815475.0,986875,Chili Roasted Broccoli,American
100.0,3.04,0.0,0.0,0.0,16.69,0.0,245520,New Jersey Italian Hot Dog,American
