sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
22.09,100.0,9.92,11.24,24.96,72.54,0.0,129160,Lemon Cranberry Oat Scones,British
32.53,49.92,10.51,6.23,29.49,100.0,0.0,79762,Honeyed Grapefruit Oat Scones,British
24.3,100.0,14.88,39.97,25.74,75.86,534900.0,129878,Date & Walnut Scones,British
84.42,57.29,5.43,2.79,26.08,100.0,0.0,836656,Traditional Cornish Pasty,British
78.91,22.95,7.01,23.33,21.29,100.0,0.0,46799,Lavender And Toasted Walnut Scones,British
54.44,83.68,75.07,50.82,54.56,100.0,2250.0,297658,Blueberry-Orange Trifle,British
26.69,100.0,18.36,8.89,59.86,50.8,0.0,524670,Garlic Butter and Cheddar Scones,British
27.66,100.0,19.22,28.2,25.34,73.57,1800000.0,609039,Grain Free Scones,British
53.16,100.0,75.17,34.5,74.84,75.59,22350.0,48227,Apple Cheddar Scones,British
57.49,100.0,62.43,39.79,44.21,80.07,0.0,760569,Lemon-Blueberry Scones,British
30.06,100.0,21.32,24.01,54.53,63.36,0.0,686586,Pumpkin-Butterscotch Gingerbread Trifle,British
18.93,100.0,9.57,10.49,24.2,79.56,0.0,487907,Blueberry Scones,British
90.14,9.16,22.91,8.71,2.71,100.0,0.0,443065,Lemon Trifle,British
33.09,93.32,32.09,15.82,39.74,100.0,22350.0,42268,Ginger Scones,British
100.0,5.35,77.35,29.47,5.19,11.3,0.0,221907,Cheddar & sage scones,British
100.0,10.24,30.84,6.57,7.88,16.25,0.0,569029,Berrymisu Trifle,British
100.0,56.19,16.42,10.55,25.3,85.62,0.0,309746,Dried Cherry Almond Scones,British
60.98,76.19,20.52,13.13,39.78,100.0,0.0,56225,Cream Scones,British
83.51,100.0,23.35,25.16,58.93,93.91,14900.0,43398,Curried Parsnip And Potato Pasties,British
20.98,100.0,11.45,11.78,24.61,80.04,0.0,495667,Goat Cheese & Onion Scones,British
100.0,12.43,3.12,1.91,7.19,32.02,0.0,679391,Pumpkin Scones,British
30.89,100.0,28.85,26.77,68.46,59.78,0.0,77569,Whole Wheat Oatmeal Raspberry Scones,British
21.09,95.52,15.08,47.66,22.8,100.0,38900.0,79224,Macadamia-oat Scones With Orange Glaze,British
100.0,12.0,11.53,16.58,12.53,42.34,0.0,574156,Low Fat Whole Wheat Blueberry Scones,British
18.3,100.0,25.87,21.33,66.02,65.2,0.0,54562,Mocha Scones,British
20.21,100.0,10.31,10.86,24.81,75.66,0.0,542516,Confession I’m Getting Serious about this “Homemade” Business.. Cinnamon Chip Cream Scones,British
100.0,1.34,1.35,0.7,0.16,92.95,0.0,56643,Pumpkin & Date Scones,British
21.48,100.0,9.89,10.49,25.48,72.32,0.0,79228,Bacon And Cheddar Scones,British
18.97,100.0,27.78,22.4,65.05,74.81,850485.0,722409,Blackberry-Mint Scones,British
25.68,98.86,35.77,29.04,70.58,100.0,0.0,222877,Cranberry-Orange Trifle,British
18.89,100.0,12.62,30.27,23.5,75.04,0.0,1120634,Ferrero Rocher Trifle,British
100.0,6.46,48.92,18.41,6.1,15.56,0.0,631507,Pumpkin Scones,British
