sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
39.36,100.0,41.56,39.55,76.82,55.56,900000.0,177469,Slow-Cooker Herbed Beef Stroganoff,Eastern European
28.81,100.0,32.77,21.2,71.19,63.44,0.0,709265,Beef Stroganoff Casserole,Eastern European
22.78,100.0,23.27,31.12,46.83,63.24,0.0,548832,Summer Borscht – 3 Points,Eastern European
30.79,100.0,38.32,33.73,82.32,63.96,0.0,97791,Pork or Lamb Goulash A' Blanc,Eastern European
27.76,100.0,19.45,32.9,33.25,59.68,7500.0,582861,Borscht with Meat,Eastern European
14.77,100.0,15.68,19.93,75.92,63.38,5950.0,143242,"Hungarian Mushroom Soup, from the Moosewood Cookbook",Eastern European
33.28,100.0,35.49,24.04,71.8,64.67,0.0,1156560,Cheesy Beef Goulash,Eastern European
18.02,100.0,30.9,22.26,59.99,56.2,1800000.0,1454275,Instant Pot Goulash,Eastern European
46.84,100.0,38.46,32.11,55.54,53.17,2975.0,618283,Hungarian Chicken Paprikash,Eastern European
21.23,100.0,33.05,19.34,59.89,58.3,10000.0,1187571,Instant Pot Beef Stroganoff,Eastern European
50.63,100.0,29.21,28.24,59.81,92.88,0.0,498964,Hungarian Cabbage Noodles,Eastern European
30.64,100.0,28.32,19.87,41.64,59.71,0.0,821490,Beef Stroganoff,Eastern European
24.85,100.0,30.83,25.85,73.28,65.17,0.0,559262,Traditional Romanian Polenta with Feta Cheese and Bacon (Mamaliga cu Branza in Paturi),Eastern European
42.69,100.0,47.88,26.66,86.02,89.18,0.0,592945,Mom’s Beef Stroganoff,Eastern European
31.39,100.0,37.65,34.56,89.11,61.57,0.0,139101,Hungarian Goulash,Eastern European
52.01,100.0,40.38,24.51,34.98,58.61,0.0,276341,"Easy ""Pierogi"" Casserole",Eastern European
65.26,100.0,13.99,21.4,26.69,69.2,0.0,274262,Ultimate Creamy Beef Stroganoff,Eastern European
30.87,100.0,35.27,34.45,87.98,65.68,900000.0,13748,Hungarian Ham Strudel with Watercress Salad,Eastern European
25.12,100.0,29.49,28.4,75.46,73.17,900000.0,1077838,Classic Beef Stroganoff,Eastern European
