sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
100.0,16.06,34.38,14.2,10.75,65.81,1800000.0,473895,Rigatoni Brussel Sprout Bake + Figs,European
47.48,100.0,27.89,26.62,37.55,54.74,0.0,204988,Parting Glass Belgian Dubbel (For Intermediate Brewers),European
80.16,91.51,94.27,100.0,85.02,83.32,0.0,758105,Late Summer Minestrone with Butternut Squash and Fresh Corn,European
31.41,15.69,36.0,25.57,2.5,100.0,10000.0,603272,Greek Salad Quinoa Bowl,European
70.37,34.3,100.0,25.42,23.32,58.79,0.0,491863,Green Goddess Pasta Primavera,European
88.34,90.93,52.99,61.79,40.55,100.0,322350.0,75565,Low-carb Turkey Lasagna,European
22.62,100.0,24.21,23.28,70.99,60.8,5950.0,550021,Steak and French Fry Salad with Blue Cheese Butter + Poached Eggs,European
25.9,100.0,26.26,18.08,53.8,57.54,0.0,802968,Greek Potato Salad,European
30.04,100.0,12.25,12.07,26.92,79.87,11900.0,692504,30-Minute Meal // Light Shrimp Scampi with Kale Pesto // Gluten & Dairy Free,European
73.66,98.62,57.41,49.65,75.45,100.0,29800.0,569955,Tomato & Sausage Risotto,European
100.0,21.36,13.13,41.71,10.93,41.57,67050.0,748331,"Broken Lasagna with Parsley Pesto, Lettuce and Potatoes",European
100.0,12.65,11.8,0.0,5.2,52.8,3375000.0,695432,Chopped Greek Salad with Chicken for Two,European
32.28,100.0,38.29,56.48,58.12,68.97,0.0,762224,Swiss Chard and Caramelized Onion Lasagna,European
15.75,7.09,23.84,16.93,1.65,100.0,0.0,204684,Grilled Ratatouille,European
49.45,100.0,45.93,32.29,60.71,98.24,1750.0,678613,Veggie Flatbread Pizza,European
31.87,100.0,31.52,37.31,79.42,75.44,0.0,18448,Spring Panzanella Recipe,European
85.01,100.0,64.08,53.9,70.33,73.38,116900.0,565558,Lasagna Soup,European
100.0,65.38,65.44,58.16,86.06,77.13,0.0,23751,Eggplant And Pine Nut Rolled Lasagna,European
42.46,100.0,20.14,34.45,42.15,50.1,24600.0,775860,Cheesy Spinach and Artichoke Lasagna,European
39.43,100.0,36.31,40.53,52.02,84.0,7400.0,98060,Irish Stew,European
56.86,30.26,89.35,36.06,21.67,100.0,0.0,612113,Slow Cooker Ratatouille Soup,European
100.0,40.47,27.45,59.41,10.02,32.71,0.0,792878,One-Pot Italian Chicken & Quinoa,European
84.18,33.91,100.0,28.12,25.61,27.04,7450.0,694057,Broccoli Rabe & Turkey Sausage Lasagna,European
48.67,100.0,85.22,49.27,35.91,83.84,150000.0,772209,Steak Roulade with Provolone,European
48.86,100.0,19.62,29.09,65.5,74.47,3725.0,729296,Strawberry Banana Oatmeal Greek Yogurt Waffles (gluten free!),European
100.0,71.66,44.27,33.18,72.56,87.88,0.0,838787,Skillet Gnocchi with Chard & White Beans,European
78.08,92.35,100.0,42.25,85.63,66.95,0.0,556412,Spinach flan,European
41.22,100.0,9.89,6.85,46.25,46.14,5950.0,495605,Grilled Veggie Gyros with Creamy Cucumber Dill Sauce,European
38.97,100.0,19.97,35.55,39.66,61.6,5950.0,10640,Oven-roasted Balsamic Brussels Sprouts,European
17.79,100.0,17.49,19.74,31.82,60.16,0.0,248537,Roasted Brussels Sprout Carbonara,European
60.55,100.0,49.27,58.16,50.18,68.46,11339.8,667361,Chicken & Veggie Pasta,European
70.23,33.33,100.0,31.99,38.79,30.65,0.0,35997,Baked Risotto with Tossed Green Veggies,European
76.26,61.74,100.0,44.86,47.86,43.73,1694950.0,771549,"Spanish Chorizo, Kale and Cranberry Bean Soup",European
20.15,100.0,14.5,16.74,55.41,66.04,14900.0,484912,Pasta Primavera,European
85.8,61.77,100.0,80.38,36.45,38.6,0.0,201808,Skillet Baked Ziti,European
69.91,90.85,50.59,100.0,36.76,67.33,10125000.0,798590,Spiralized Ratatouille,European
24.56,100.0,26.39,36.9,52.67,40.69,1800000.0,248483,Italian Potato Wedges,European
44.64,100.0,56.42,35.4,65.45,59.76,0.0,695625,Turkish-Style Pizza,European
45.08,88.57,35.28,46.04,65.21,100.0,0.0,28415,Italian Stuffed Artichokes,European
92.05,100.0,44.15,40.17,82.08,79.51,32800.0,666789,Greek Chicken,European
33.64,100.0,33.7,52.83,31.68,51.5,29800.0,628542,Winter Tuna Nicoise Salad with Quinoa and Roasted Vegetables,European
49.67,100.0,67.98,51.39,45.76,60.41,0.0,592430,Spinach Lasagna Roll Ups,European
76.42,100.0,72.07,34.28,58.41,58.16,0.0,504282,"Turkey Legs, Italian Sausage and Potatoes in the Slow Cooker",European
22.59,56.87,24.1,1.29,18.1,100.0,0.0,508023,Minestrone Soup,European
47.55,100.0,50.22,41.2,47.41,43.87,44700.0,249017,Eggplant Paprikash,European
33.15,100.0,27.51,22.75,31.45,64.46,0.0,759299,Roasted Red Pepper Crostini with Balsamic Reduction,European
100.0,21.64,30.46,24.42,24.98,70.46,0.0,497505,Grilled Vegetable and Smoked Fontina Pizza,European
94.56,39.5,100.0,30.85,36.12,26.58,29800.0,10363,Orecchiette With Broccoli Rabe,European
44.66,58.81,17.49,34.21,19.52,100.0,0.0,78438,Naked Zucchini Blossom And Potato Quiche,European
34.43,100.0,44.25,20.39,59.81,48.9,33500.0,503475,fall minestrone soup,European
47.5,100.0,33.05,26.39,34.21,61.38,0.0,695539,Lasagna with Slow-Roasted Tomato Sauce,European
59.7,62.81,34.52,34.06,72.65,100.0,0.0,222067,Fish parcels with romesco sauce & veg,European
98.01,84.94,100.0,51.39,41.98,46.09,5950.0,551106,Grilled Eggplant Parmesan,European
48.65,100.0,83.97,42.47,35.63,76.15,1487.5,758633,Hearty Irish Lager Stew,European
38.7,100.0,53.38,26.05,71.08,52.21,0.0,716509,Chicken Cacciatore,European
33.77,100.0,37.93,12.96,74.04,56.3,14900.0,549611,Greek Steak Salad French Bread with Soft Boiled Eggs + Feta,European
100.0,27.69,11.54,24.94,21.36,84.71,3500.0,743188,Greek Spinach-Stuffed Chicken,European
76.27,33.66,100.0,34.2,44.0,21.69,0.0,578144,Italian Meatball Soup,European
50.23,100.0,21.03,8.77,58.46,71.0,18000.0,7997,Grilled Tuna Nicoise Salad,European
100.0,72.36,59.37,50.95,44.07,75.85,14900.0,473867,No-Bake Zucchini Lasagna,European
26.75,100.0,16.48,23.83,47.22,61.69,0.0,498336,Falafel Burgers with Tahini and Tzatziki,European
52.4,31.43,26.86,25.3,45.31,100.0,14900.0,31985,French Lentil Salad With Goat Cheese,European
100.0,50.96,83.61,33.62,54.17,55.62,44700.0,609091,Three Bean Greek Kale Salad,European
67.6,32.35,100.0,25.42,23.32,71.78,0.0,86215,Classic Fish and Chips,European
19.53,100.0,17.2,16.84,46.02,51.18,0.0,484680,Crock-Pot Corned Beef and Cabbage Dinner,European
25.96,100.0,28.29,13.12,71.56,57.86,17850.0,204811,"Pizza with Pesto, Ricotta, and Mozzarella",European
39.45,67.23,17.37,21.43,32.92,100.0,0.0,574834,Savory Buttered Potatoes Colcannon,European
41.1,18.99,100.0,57.36,14.37,79.29,2975.0,690928,Seafood paella,European
84.51,46.85,100.0,43.42,56.81,52.81,7450.0,471829,American Shepherd's Pie,European
72.3,23.35,99.84,47.24,15.43,100.0,14900.0,471411,French Lentil Salad with Goat Cheese and Walnuts From 'My Paris Kitchen,European
60.37,93.97,100.0,59.86,69.55,86.92,5950.0,50167,Winter Pudding Bombe,European
26.69,100.0,21.62,17.92,36.56,64.25,0.0,799479,Greek Lemon Foil Roasted Potatoes,European
