sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
77.32,33.76,100.0,42.58,63.76,36.64,0.0,475680,French Onion Soup,French
44.81,100.0,39.19,37.39,44.15,48.12,11900.0,1521813,Tuna Nicoise Grain Bowl,French
19.21,100.0,11.51,11.57,23.45,76.76,0.0,89906,Nicoise Salad,French
49.3,100.0,44.55,37.12,44.29,55.89,6000.0,835966,Tuna Nicoise Salad with Avocado Green Goddess Dressing,French
7.32,3.98,29.39,29.66,7.27,100.0,0.0,585751,Quiche with Potato Crust,French
24.56,100.0,10.15,10.96,24.14,68.41,11900.0,721808,Greek Quiche,French
23.37,100.0,10.27,13.39,39.55,78.22,29800.0,757264,Chayote Ratatouille and Red Beans,French
49.96,100.0,43.5,44.92,41.84,50.38,8200.0,9005,Little-girl Salad (niçoise Salad),French
41.79,100.0,35.5,36.64,43.54,53.36,0.0,12364,French In A Flash: Apple Celeriac Remoulade With Crab,French
20.64,79.59,21.23,8.44,59.24,100.0,0.0,19806,Spinach Souffle,French
16.44,100.0,28.43,18.67,58.55,50.88,595339.5,37862,Gluten-free Asparagus Quiche,French
49.7,100.0,24.74,38.47,50.69,63.86,5950.0,622157,Shortcut French Cassoulet & a Le Creuset French Oven Giveaway {$280},French
31.99,100.0,29.04,18.26,30.12,73.11,0.0,998788,French Onion Grilled Cheese,French
60.02,29.89,15.86,38.78,0.7,100.0,0.0,28378,Zucchini Cheese Quiche,French
26.57,100.0,19.81,22.97,71.14,64.52,0.0,101583,Crustless Swiss Chard Quiche,French
45.81,100.0,27.14,47.46,58.78,82.53,0.0,145987,French Dip Beef Sandwich,French
68.15,39.38,100.0,27.74,26.21,42.15,0.0,90023,Tuna Nicoise Salad,French
83.49,75.26,100.0,45.26,60.2,88.77,3700.0,199814,French in a Flash (Holiday): Red Pepper Caviar in Chilled Artichokes,French
19.62,100.0,24.2,25.97,62.43,74.35,0.0,76430,French In A Flash: Veal Stew Forestière,French
60.3,100.0,50.12,50.96,52.7,65.5,14900.0,92803,French White Bean and Cabbage Soup,French
61.01,100.0,40.03,41.18,40.77,84.28,11900.0,7265,Smoked Trout Pate,French
