sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
19.22,100.0,9.82,13.54,38.16,76.4,1800000.0,539610,Easy German Chocolate Mousse,German
100.0,54.09,68.14,25.16,42.06,66.6,3725.0,554406,German Chocolate Ice Cream Sandwich Cookies,German
31.58,100.0,14.67,9.05,42.38,83.29,0.0,697262,German Apple Pancake,German
25.97,100.0,35.61,27.67,66.69,56.13,600000.0,485542,Tomato Basil Chicken Roulade,German
14.96,76.02,17.32,20.89,52.44,100.0,0.0,911815,German Potato Salad,German
100.0,79.9,55.88,28.7,59.22,87.15,80083.34,93792,German Sweet & Sour Cabbage,German
18.37,100.0,18.66,20.59,58.93,62.05,0.0,604019,Slow Cooker German Potato Salad,German
14.94,100.0,21.82,19.56,70.92,76.02,0.0,552845,Authentic German Pretzels,German
22.81,100.0,31.47,31.79,39.5,65.92,11175.0,209820,Orange-Pumpkin Roulade,German
18.77,100.0,9.78,12.84,34.44,72.16,947000.0,795505,Banana Split Popsicles,German
31.02,100.0,13.31,15.18,36.26,66.79,2975.0,606335,German Marble Cake,German
16.81,100.0,14.37,15.95,67.99,76.51,900000.0,552099,Raspberry Roulade - Chocolate Ganache,German
45.7,100.0,11.29,19.67,68.77,78.54,14900.0,410755,German Potato Patties,German
21.19,100.0,37.07,27.31,32.94,37.55,0.0,602909,No Bake German Chocolate Bites,German
16.28,100.0,29.47,32.92,62.53,46.63,0.0,201129,Easy Black Forest Cake,German
34.88,100.0,68.27,52.58,75.31,75.64,0.0,170744,Silly Pink Rabbit Adult Malts,German
16.98,100.0,10.73,11.46,69.99,81.55,0.0,57730,Sautéed German Sausages with Bacon and Apple Sauerkraut,German
14.16,100.0,13.97,16.36,69.24,70.57,0.0,489225,German Peach Kuchen,German
15.77,100.0,19.62,19.82,68.67,99.42,0.0,644504,German White Chocolate Cake,German
17.41,86.37,12.28,17.28,52.23,100.0,0.0,244522,Rocky Road Bark,German
27.13,70.92,9.91,21.88,48.35,100.0,14900.0,825293,German Pancakes,German
25.83,100.0,12.19,11.58,28.68,99.88,600000.0,575268,Black Forest Cake,German
100.0,1.14,0.0,0.0,0.0,22.73,0.0,382258,German Meatballs with Gingersnap Gravy,German
17.16,100.0,14.54,17.58,69.51,71.87,0.0,616073,Pumpkin Pie German Pancakes,German
15.25,100.0,18.77,18.02,63.77,73.91,0.0,562592,German Soft Pretzel Sticks with Bacon,German
100.0,1.62,0.0,0.0,0.0,49.65,0.0,548076,German Pancake with Berries,German
20.91,100.0,29.97,25.92,42.71,70.5,0.0,1148435,Cake Batter Muddy Buddies,German
11.32,100.0,14.43,19.56,63.59,66.29,0.0,702767,Contest-Winning German Chocolate Pie,German
