sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
32.69,82.09,18.58,27.4,65.45,100.0,6757450.0,486654,aloo tamatar sabzi – potato tomato curry for fasting | navratri s,Indian
52.46,100.0,58.59,86.5,62.18,64.05,2975.0,28491,Grilled Artichokes With Basil Curry Sauce,Indian
100.0,58.64,37.82,59.62,26.56,91.32,0.0,623221,Red Lentil Cashew Soup with Curry Toasted Cashews,Indian
28.73,100.0,83.56,68.63,86.69,83.13,14900.0,563164,Creamy Indian-Spiced Chickpea and Tomato Curry,Indian
100.0,33.66,68.76,43.06,24.27,34.21,0.0,507021,Indonesian Chicken Curry,Indian
90.14,100.0,87.0,81.11,50.71,77.85,0.0,609773,Mango Curry Steak with Coconut Cauliflower Rice,Indian
0.57,1.84,0.0,0.0,0.0,100.0,0.0,557744,Lamb & Eggplant Tikka Masala,Indian
100.0,20.07,25.92,20.03,10.9,23.55,3420000.0,980970,Easy Thai Red Curry,Indian
49.95,100.0,42.28,48.74,36.66,72.67,10125000.0,459500,Spinach and Tomato Dal (Indian Lentil Soup),Indian
8.53,0.8,0.0,0.0,0.0,100.0,16500.0,222531,Coronation chicken naans with Indian slaw,Indian
99.98,68.65,100.0,93.21,39.51,42.85,0.0,828467,Red Kuri Squash Curry with Chard,Indian
97.75,86.94,64.15,56.93,49.22,100.0,11900.0,31120,Black-eyed Pea Masala,Indian
39.65,100.0,21.15,47.35,21.87,82.29,13500000.0,700114,Lemongrass and Coconut Curry with Summer Vegetables,Indian
65.28,77.73,34.46,44.59,45.66,100.0,0.0,75783,Malabar Prawn Curry,Indian
100.0,0.05,29.97,0.0,13.2,30.04,5950.0,573205,Coconut Crusted Tofu & Pineapple Bites with Creamy Green Curry Sauce,Indian
100.0,0.92,28.23,0.0,12.44,40.27,3382450.0,556663,"Roasted Pumpkin, Gala Apple & Garam Masala Soup",Indian
84.97,100.0,30.25,34.86,44.19,71.93,11900.0,112841,Beef and Pineapple Red Curry,Indian
100.0,10.98,8.39,11.84,6.61,56.97,0.0,33962,Quick And Easy Curry,Indian
46.78,100.0,19.88,33.4,41.24,49.48,40000.0,744958,Indian Shrimp with Cauliflower,Indian
48.93,100.0,61.1,57.49,33.06,75.52,3375000.0,615266,Slow Cooker Indian Butter Chicken with Cauliflower,Indian
99.83,4.5,0.0,0.0,0.0,100.0,0.0,621841,"aloo rasedar , how to make aloo rasedar curry",Indian
72.62,100.0,12.7,37.79,33.96,80.61,14900.0,646043,Gujarati Dry Mung Bean Curry,Indian
100.0,26.53,40.37,26.38,23.09,58.1,3375000.0,608515,Slow Cooker Coconut Curry Chicken,Indian
19.79,100.0,9.49,10.6,23.25,67.24,337000.0,214284,Creamy beetroot curry,Indian
95.12,32.91,100.0,25.42,23.32,29.98,0.0,53798,Indian Fish Coconut Curry Recipe,Indian
34.45,3.76,100.0,20.09,11.93,55.78,26250.0,88119,Thai Salmon Curry,Indian
73.02,29.65,100.0,33.95,22.56,23.72,0.0,824646,Turkey Meatball Vindaloo,Indian
100.0,6.48,27.09,5.97,15.83,61.55,0.0,245086,Chickpea Potato Curry,Indian
100.0,30.47,66.1,26.95,27.67,35.08,0.0,625361,Indian Spiced Chicken (or Vegetable) Turmeric Soup,Indian
73.95,100.0,84.24,53.88,43.56,60.84,220500.0,626875,Vegetarian Panang Curry with Tofu,Indian
100.0,12.61,6.04,13.06,11.19,68.58,45000.0,380753,Pineapple Curry Chicken,Indian
23.85,100.0,25.97,10.09,74.59,53.31,0.0,674514,Sweet Potato Coconut Curry,Indian
55.95,25.36,100.0,23.38,20.14,29.5,99000.0,601472,Cauliflower Yellow Lentil Curry,Indian
48.9,68.68,100.0,74.43,29.51,26.78,0.0,616580,CURRY ROASTED CAULIFLOWER & QUINOA SALAD,Indian
100.0,9.95,0.0,0.0,0.0,33.84,1687500.0,488021,"palak paneer , how to make palak paneer | paneer s",Indian
79.85,64.28,50.73,100.0,32.17,86.22,22350.0,208499,Dinner Tonight: Mushroom Bhaji (Mushrooms in Tomato-Onion Sauce),Indian
43.95,100.0,36.39,41.34,44.27,53.4,23950.0,488194,Paneer Pakora (Cottage Cheese Fritters),Indian
100.0,6.02,44.23,21.1,1.95,35.04,0.0,229169,Indian Butter Chicken,Indian
100.0,66.25,13.52,61.77,13.44,52.79,14900.0,584394,Slow Cooker Vegetable Curry with Sweet Potato & Chickpeas,Indian
100.0,46.31,60.23,17.64,31.34,47.69,99000.0,79230,Masala Chai Latte,Indian
20.21,100.0,9.52,10.63,23.32,67.69,73500.0,54122,Butternut Squash And Coconut Curry,Indian
51.3,1.38,1.86,0.47,0.43,100.0,3375000.0,195351,Slow Cooker Penang Curry Soup With Chicken and Kale,Indian
46.09,100.0,65.76,80.85,45.97,74.98,4000.0,23816,"Eggplant, Potato, And Chickpea Curry",Indian
8.35,11.44,23.18,16.46,1.61,100.0,4000.0,488711,"garlic naan , how to make garlic naan on stove top and oven",Indian
15.4,2.04,4.44,4.56,9.13,100.0,0.0,600481,Palak Rice – Spinach Rice,Indian
32.61,4.07,69.97,46.71,4.84,100.0,120000.0,682134,Creamy Potato Curry,Indian
33.53,100.0,10.31,17.06,22.0,79.73,1875000.0,208528,Dinner Tonight: Punjabi Rajma (Kidney Bean and Tomato Curry),Indian
25.23,100.0,34.99,46.78,64.37,54.39,0.0,838188,Crockpot Thai Broccoli Rabe Chicken Curry,Indian
50.16,100.0,33.22,13.84,47.41,65.54,0.0,221496,Cumin-scented chicken curry,Indian
47.54,100.0,20.2,33.94,41.91,50.28,40000.0,16506,"Avocado, Curry Smoked Tofu And Lettuce",Indian
100.0,63.4,34.09,67.45,35.21,60.1,3375000.0,113139,Uncle Bill's Mung Bean Curry,Indian
100.0,48.63,35.14,29.57,28.36,47.83,5950.0,111896,Vegetable Lentil Curry,Indian
44.2,100.0,34.07,32.51,25.09,65.32,0.0,716364,Rice and Peas with Coconut Curry Mackerel,Indian
