sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
16.94,100.0,10.89,16.17,41.26,67.86,0.0,135314,Everyone's Favorite Shepherd's Pie,Irish
52.26,100.0,27.01,23.09,31.95,75.14,0.0,718846,Diane's Colcannon,Irish
48.99,100.0,18.4,33.67,41.91,62.42,0.0,135349,Elizabeth's Shepherds Pie,Irish
28.22,100.0,28.33,71.79,38.33,52.13,0.0,303492,Reuben-Style Shepherd's Pie,Irish
19.9,100.0,14.31,16.97,37.22,72.11,0.0,1614463,Easy Shepherd's Pie with Sweet Potatoes,Irish
100.0,91.74,38.82,12.86,67.91,49.78,0.0,1186715,Slow Cooker Corned Beef and Cabbage DInner,Irish
37.62,100.0,23.4,49.15,36.51,61.18,0.0,522066,Irish Potato Soup,Irish
50.38,100.0,66.13,94.38,57.78,48.2,0.0,407710,Corned Beef and Cabbage,Irish
31.84,100.0,22.0,22.75,44.04,54.71,0.0,987475,Corned Beef and Cabbage Pizza,Irish
28.74,100.0,20.94,66.86,60.72,63.86,0.0,85372,Irish Cod Pie Topped With Mashed Potatoes,Irish
32.32,100.0,14.49,18.1,36.83,62.84,0.0,204199,Celery Root Shepherd's Pie,Irish
28.75,100.0,16.77,24.09,47.06,61.97,0.0,406145,Shepherd's Pie Casserole,Irish
23.98,100.0,14.27,24.19,30.33,59.25,0.0,38438,Vegetarian Shepherd's Pie,Irish
24.38,100.0,12.28,11.66,43.27,66.68,14900.0,859767,Colcannon,Irish
23.45,100.0,21.5,38.49,37.63,61.06,0.0,865707,Creamy Mashed Cauliflower Colcannon,Irish
73.8,70.7,52.66,100.0,38.41,58.66,0.0,1094168,Toasted soda bread with blue cheese & pear,Irish
24.64,100.0,12.0,11.94,26.61,80.71,0.0,71353,Meatball Shepherd's Pie,Irish
21.64,100.0,15.43,19.14,40.06,68.4,0.0,134871,Adi's Shepherd's Pie,Irish
25.85,100.0,14.02,10.66,45.87,63.22,0.0,1099853,Leftover Corned Beef and Cabbage Soup,Irish
17.96,86.64,32.62,100.0,41.66,50.74,0.0,531039,Irish Chocolate,Irish
49.1,100.0,23.44,41.58,43.23,62.19,22350.0,45384,Sweet Potato Shepherds Pie,Irish
17.54,100.0,18.82,14.27,64.93,55.96,17009700.0,120488,Shepherd's Pie Potatoes,Irish
100.0,26.01,7.98,44.0,0.0,1.85,0.0,1080786,Colcannon,Irish
20.48,100.0,24.36,22.43,46.87,50.23,0.0,93344,Easy Corned Beef and Cabbage,Irish
27.98,100.0,14.29,17.33,30.2,67.62,0.0,135245,Upside-Down Shepherd's Pie,Irish
43.39,100.0,17.07,26.42,38.57,56.0,0.0,71553,Crisscross Shepherd's Pie,Irish
80.36,61.48,30.22,19.42,46.57,100.0,0.0,1087889,Sweet potato shepherd's pie,Irish
25.15,100.0,28.99,47.5,45.57,46.79,2841648.77,642091,Easy Shepherd's Pie (Beef And/or Lamb Combo),Irish
20.09,3.73,0.0,0.0,0.0,100.0,0.0,100276,30 Minute Shepherd's Pie,Irish
39.42,100.0,23.23,18.61,39.83,67.68,0.0,94980,Crock Pot Irish Stew (Dublin Coddle).,Irish
40.13,100.0,19.49,21.4,38.99,59.36,3725.0,471583,Irish Shepherd's Pie,Irish
27.97,100.0,18.19,15.71,43.38,60.85,22350.0,525395,"Mixed Greens with Apples, Irish Cheddar, Dried Cranberries and Toasted Walnuts",Irish
24.68,100.0,14.18,20.82,41.73,71.29,0.0,586162,Guinness Irish Onion Soup with Irish Cheddar Crouton,Irish
22.75,100.0,13.07,17.79,40.14,64.41,5950.0,97692,Shepherd's Pie,Irish
23.28,100.0,26.57,41.31,44.75,49.92,0.0,135294,Updated Shepherd's Pie,Irish
34.29,100.0,16.01,25.94,37.8,70.35,0.0,93521,Nyc Corned Beef and Cabbage,Irish
28.92,100.0,10.9,18.88,24.64,69.85,0.0,94311,Irish Colcannon,Irish
27.75,100.0,25.99,33.77,42.08,45.75,0.0,484737,Irish Carrot & Parsnip Mash,Irish
33.27,100.0,15.57,21.67,36.68,67.35,0.0,400519,Sunday's Corned Beef,Irish
24.7,100.0,19.52,49.7,35.69,78.65,0.0,471635,Turkey Shepherd's Pie,Irish
22.87,100.0,14.63,22.27,38.23,71.76,22350.0,93119,"Scallops, Mushroom, Pea Pie With Colcannon Topping",Irish
26.81,100.0,37.46,27.07,78.33,55.31,0.0,15350,Colcannon,Irish
31.2,100.0,18.69,17.16,49.8,71.0,1814900.0,135308,Easy-Peasy Shepherd's Pie,Irish
21.07,100.0,9.4,10.49,23.02,77.83,0.0,100664,Shepherd's Pie,Irish
21.74,100.0,32.59,30.71,56.72,39.85,4125.0,71627,Vegetarian Shepherd's Pie,Irish
27.96,100.0,22.09,59.83,27.24,86.45,0.0,417834,Hearty Shepherd's Pie,Irish
26.04,100.0,27.04,24.77,47.56,48.15,0.0,470904,Marie's Shepherd's Pie,Irish
18.2,100.0,32.06,29.1,56.57,41.74,75000.0,531929,Corned Beef and Cabbage Casserole with a Hash Brown Crust,Irish
26.75,100.0,11.53,16.98,26.76,68.18,0.0,97851,Texas Style Hash Browns Shepherd's Pie,Irish
36.7,100.0,17.24,26.56,39.84,71.47,0.0,521033,Crockpot Beef Tips & Gravy,Irish
16.97,100.0,10.92,16.26,41.45,67.99,0.0,71496,Southwestern Shepherd's Pie,Irish
20.87,100.0,28.26,25.04,51.94,47.32,0.0,363639,Slow Cooker Corned Beef and Cabbage,Irish
43.89,100.0,32.37,23.6,32.16,66.04,0.0,1153664,Dairy-Free Turkey Shepherd's Pie,Irish
29.94,100.0,25.33,43.04,32.86,67.83,0.0,598006,Chocolate Mocha Cake with Irish Whiskey,Irish
26.04,100.0,15.14,22.99,50.84,62.52,22350.0,97224,Shepherd's Pie,Irish
29.73,100.0,49.44,74.78,61.09,55.82,0.0,71338,Easy Shepherd's Pie,Irish
20.69,100.0,24.96,18.19,25.4,53.71,0.0,101148,Dee's Shepherd's Pie,Irish
17.54,100.0,23.9,32.33,36.98,39.47,0.0,1080820,Vegan Lentil Shepherds Pie,Irish
26.97,100.0,10.33,17.06,32.24,71.63,0.0,97281,Shepherd's Pie,Irish
36.28,100.0,26.52,19.59,31.67,60.41,0.0,93144,Colcannon,Irish
26.15,100.0,22.53,21.36,31.8,71.88,0.0,135017,Rachael Ray's Steakhouse Shepherd's Pie - 30 Minute Meal,Irish
