sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
34.2,100.0,36.03,24.14,48.96,60.28,0.0,759983,Tortilla Lasagna with Swiss Chard,Italian
88.34,96.81,100.0,88.04,38.84,33.89,0.0,631051,"Avocado, Mozzarella and Bruschetta Chicken - Iowa Girl Eats",Italian
33.02,100.0,22.62,33.36,79.68,61.05,14900.0,612345,{One Dish} Quinoa Chicken Parmesan Casserole,Italian
20.08,100.0,23.24,18.63,66.2,62.56,14900.0,955390,Zucchini & Sweet Potato Noodle Minestrone,Italian
100.0,65.23,99.22,49.19,52.86,58.83,0.0,347822,Pasta Primavera,Italian
85.56,9.47,0.0,0.0,0.0,100.0,0.0,321908,Asparagus Lasagna,Italian
65.51,100.0,18.21,36.95,17.96,57.95,0.0,537803,"Italian Chicken, Mushroom, and Zucchini Skillet",Italian
92.9,53.54,54.2,47.16,100.0,79.48,0.0,506488,Italian Pulled Chicken and Kale Sliders,Italian
40.88,100.0,36.66,25.21,53.39,66.73,0.0,762143,Spinach and Artichoke Risotto,Italian
53.68,72.5,36.16,100.0,13.37,74.05,0.0,553337,Skinny Fettuccine alfredo with spinach,Italian
21.68,100.0,27.29,22.73,60.62,72.08,0.0,23833,Moroccan Pizza,Italian
63.25,100.0,61.01,39.61,50.87,80.73,0.0,715495,Turkey Tomato Cheese Pizza,Italian
57.52,100.0,76.41,45.0,56.12,57.98,33722.35,398561,Minestrone Soup,Italian
19.21,100.0,19.14,17.08,59.76,68.5,0.0,716709,Spinach Lasagna Roll-Ups,Italian
100.0,26.7,33.06,33.98,67.96,67.96,0.0,589147,Crockpot Chicken Cacciatore,Italian
48.1,100.0,42.98,69.91,46.77,41.88,0.0,723742,Browned Butter Gnocchi with Broccoli and Pine Nuts,Italian
43.84,100.0,55.41,38.89,66.47,83.67,0.0,618767,Brussels Slaw with Tahini Dressing and Za’atar Crostini,Italian
62.93,10.03,0.0,0.0,0.0,100.0,0.0,203932,Eat For Eight Bucks: Butternut Squash and Scallion Risotto,Italian
75.51,76.17,44.8,46.21,77.0,100.0,0.0,874724,"Our Favorite Lasagna with Sausage, Spinach, and Three Cheeses",Italian
77.01,100.0,53.04,35.18,42.84,78.75,0.0,551418,"Italian Sausage, Egg and Spinach Breakfast Bowl",Italian
100.0,17.03,0.0,0.0,0.0,33.7,22350.0,19859,Spinach And Cashew Cheese Ravioli,Italian
79.62,73.02,100.0,39.77,31.88,48.7,0.0,225751,Gnocchi with roasted squash & goat’s cheese,Italian
48.84,100.0,71.65,53.21,47.01,88.89,0.0,196623,30-Minute Pasta and Kidney Bean Soup (Pasta e Fagioli),Italian
53.12,87.94,42.87,100.0,20.98,29.49,14900.0,524397,Roasted Vegetable Gnocchi with Balsamic Reduction,Italian
56.78,100.0,51.91,52.4,67.26,71.77,0.0,224027,Creamy pea & watercress pasta,Italian
69.94,100.0,61.89,37.26,59.52,69.81,0.0,10434,"Broccoli Rabe, Potato And Rosemary Pizza",Italian
100.0,35.29,16.47,10.58,25.38,71.89,14900.0,774863,Chickpea Cacciatore – A High Protein Vegan Meal,Italian
10.94,100.0,18.85,18.14,65.61,56.95,0.0,473179,Low-Carb Lasagna,Italian
31.97,100.0,35.8,33.83,62.22,67.28,7450.0,667319,Chicken Crust Pizza Margarita.,Italian
34.27,100.0,74.51,41.28,33.5,76.91,0.0,703695,Chickpea & Cauliflower Minestrone,Italian
31.82,100.0,33.49,19.89,67.52,65.88,7450.0,559514,Linguine Puttanesca with Tuna,Italian
100.0,73.03,78.06,92.44,38.63,61.09,0.0,196401,Dinner Tonight: Genovese Minestrone,Italian
50.17,100.0,56.64,43.81,47.13,87.47,0.0,201807,Stovetop Chicken Lasagna,Italian
100.0,60.68,78.09,28.27,46.56,54.03,0.0,478941,Homemade Gnocchi with Tomato Basil Sauce,Italian
25.82,100.0,10.05,13.09,24.53,87.85,0.0,785279,Bruschetta White Bean Wrap,Italian
16.43,42.07,2.06,0.96,5.61,100.0,0.0,485690,Noodle Free Lasagne,Italian
61.15,100.0,57.01,46.64,88.89,71.84,0.0,742790,Fresh Vegetable Lasagna with Spinach and Zucchini,Italian
80.69,82.6,100.0,74.87,49.41,62.76,8200.0,563178,"Roasted String Bean, Tomato, Basil, and Mozzarella Ravioli Salad",Italian
100.0,77.08,82.2,45.64,54.69,43.57,0.0,96933,Butternut Squash Baked Risotto,Italian
100.0,16.06,34.38,14.2,10.75,65.81,1800000.0,502050,Baked Lasagna Casserole,Italian
80.16,91.51,94.27,100.0,85.02,83.32,0.0,196496,Dinner Tonight: Butternut Squash Baked Risotto,Italian
31.41,15.69,36.0,25.57,2.5,100.0,10000.0,527213,Rainbow Veggie Flatbread Pizza,Italian
25.9,100.0,26.26,18.08,53.8,57.54,0.0,36106,Seared Scallops Over Wilted Spinach And Parmesan Risotto,Italian
30.04,100.0,12.25,12.07,26.92,79.87,11900.0,833075,Crockpot Lasagna Soup,Italian
