sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
100.0,85.27,70.78,71.51,41.6,23.47,300000.0,707233,Texas-Style Chili with Brisket,Jewish
100.0,22.55,0.0,0.0,0.0,6.1,0.0,685558,Sweet Potato Pancakes with Cinnamon Cream Syrup,Jewish
27.26,100.0,27.81,16.68,58.55,50.91,0.0,407267,Red-Wine Braised Beef Brisket with Horseradish Sauce and Aunt Rifka's Flying Disks,Jewish
15.46,100.0,32.21,19.8,58.96,48.03,0.0,1157703,Slow Cooker Hanukkah Beef Brisket,Jewish
17.84,100.0,16.28,13.21,36.13,60.52,0.0,833367,Cheesy Mashed Potato Pancakes,Jewish
44.07,100.0,32.88,47.25,59.48,48.46,0.0,125233,Israeli Charoset,Jewish
38.24,95.11,25.99,20.97,29.37,100.0,0.0,294308,Dry Rubbed BBQ Beef Brisket or Chicken,Jewish
25.17,100.0,28.82,23.82,56.7,46.47,17850.0,391520,Crispy Potato Pancakes,Jewish
23.18,100.0,30.39,17.89,59.2,48.86,9000.0,129168,Brisket With Portabella Mushrooms and Dried Cranberries,Jewish
74.54,100.0,15.41,36.15,36.96,53.31,0.0,199660,Beer-Braised Brisket with Honey-Lime Glaze,Jewish
37.54,100.0,39.56,26.61,48.0,54.9,0.0,186101,Baked Gefilte Fish,Jewish
29.08,86.76,18.45,17.92,38.48,100.0,0.0,154953,"Porcini Mushroom Latkes with Mushroom Salad and Chive ""Cream""",Jewish
86.52,70.87,100.0,95.58,41.02,36.85,315000.0,1054873,Gluten-Free Vegan Latkes,Jewish
53.37,100.0,32.66,55.87,55.61,47.98,0.0,122022,Low Fat Sweet Potato Latkes,Jewish
29.36,100.0,11.48,11.46,26.8,87.55,29800.0,624424,Sous Vide Brisket with Tahini Sauce and Homemade French Fried Onions,Jewish
22.67,89.24,13.7,10.89,46.29,100.0,4000.0,81651,Grandmother's Texas Barbecued Brisket,Jewish
30.43,95.72,38.37,100.0,59.97,49.91,900000.0,1045774,Sweet Potato Pancakes with Fried Sage and Goat Cheese,Jewish
27.11,100.0,40.71,48.38,57.96,48.56,73500.0,169190,Slow-Cooker Smoky Brisket Hoagies,Jewish
45.11,100.0,27.62,16.57,58.14,60.78,40000.0,272811,Barbecued Beef Brisket,Jewish
44.2,100.0,63.0,32.0,63.31,61.8,0.0,1125941,Instant Pot Beef Brisket,Jewish
33.84,100.0,45.22,34.18,58.64,53.76,0.0,524951,Thanksgiving Breakfast Hash with Cheddar Mashed Potato Pancakes,Jewish
30.44,100.0,27.93,16.75,58.79,47.91,0.0,475839,Sweet and Sour Brisket,Jewish
43.73,100.0,17.73,34.03,57.49,64.63,0.0,186899,Atlanta Brisket,Jewish
