sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
39.16,100.0,19.6,36.61,52.4,69.9,4800000.0,963183,Korean Ground Beef,Korean
39.42,100.0,13.58,23.97,8.43,11.33,0.0,1036579,Sous Vide Beef Bulgogi Bowls,Korean
14.48,100.0,0.0,0.0,0.0,7.12,0.0,975010,Pressure Cooker Korean Beef Sliders,Korean
36.92,100.0,25.93,35.64,47.65,54.12,0.0,1428721,Dongchimi (Korean Radish Water Kimchi),Korean
100.0,50.93,23.35,64.56,8.63,39.11,0.0,14092,Sparkling White Kimchi,Korean
24.26,100.0,23.79,23.88,51.2,49.17,8400.0,247665,Kimchi Reuben Sandwich,Korean
100.0,63.73,28.76,36.02,29.93,26.6,23400.0,249157,"Kimchi, Bacon and Shiitake Mushroom Omelette",Korean
100.0,16.59,14.68,22.43,2.39,12.86,0.0,625733,Korean Beef and Rice {Or Quinoa}: Simple 20-Minute Meal,Korean
51.38,100.0,42.64,69.73,50.65,48.05,0.0,11039,Spicy BBQ Chicken Bibimbap,Korean
14.44,100.0,16.28,19.5,75.62,57.35,0.0,114402,"Short Rib ""Steaks"" with Grilled Kimchi",Korean
48.94,100.0,39.6,21.65,57.34,53.3,0.0,1077800,30-Minute Korean Beef Stir Fry,Korean
100.0,56.5,9.87,26.55,24.28,35.76,9750000.0,67011,Tteokbokki,Korean
23.18,100.0,27.49,19.76,56.45,51.55,0.0,1072688,Korean Kalbi BBQ Short Ribs,Korean
23.5,100.0,30.16,18.31,59.13,48.22,0.0,473841,Korean BBQ Chicken Tacos with Asian Pear and Jicama Slaw,Korean
18.45,100.0,15.47,14.28,42.66,86.17,450000.0,497895,GuestPost: Bulgogi,Korean
25.23,100.0,13.42,16.72,69.82,57.76,147000.0,630373,Bibimbap with Spicy Steamed Tofu and Fried Eggs,Korean
47.02,100.0,34.53,21.38,59.7,54.37,0.0,567518,Korean Style Seasoned Mung Bean Sprouts Salad (Sukju Namul Muchim),Korean
32.11,100.0,11.07,14.85,46.96,45.33,0.0,1034957,Korean Beef Skewers,Korean
24.78,100.0,55.59,60.17,50.52,53.59,3700.0,91986,Kimchee (Korean Vegetable Pickle),Korean
15.44,100.0,10.56,12.13,71.56,65.27,0.0,1522811,Korean BBQ Chicken,Korean
42.78,100.0,32.06,42.77,52.18,57.28,110250.0,747831,Korean BBQ Short Ribs,Korean
29.79,100.0,28.24,19.6,58.3,54.95,3725.0,44500,Brown Rice And Radish Bibimbap,Korean
53.01,100.0,34.94,23.42,60.83,63.8,0.0,34510,Korean Pancakes,Korean
19.97,100.0,27.88,16.73,58.7,52.8,200000.0,478572,How to cook: Doejibulgogi (Korean spicy stir-fried pork),Korean
62.92,100.0,31.63,44.99,53.23,51.44,29800.0,567434,Korean Rice Rolls – Vegetable Kimbap,Korean
36.0,100.0,25.96,19.88,52.13,54.32,0.0,604806,Korean Stir-Fried Noodles (Chapchae),Korean
28.43,100.0,17.54,37.88,74.59,68.49,2975.0,203033,"Korean Scallion Pancake with Shrimp, Bacon, and Kimchi",Korean
29.75,71.44,36.16,100.0,13.37,36.35,1197000.0,113004,Grilled Korean Bulgogi Beef,Korean
73.83,100.0,49.08,35.08,53.91,63.61,13500000.0,1090922,Beef bulgogi stir-fry,Korean
70.0,100.0,84.79,53.25,55.29,67.04,8400.0,823799,Slow Cooker Korean BBQ Beef,Korean
71.1,100.0,34.12,36.29,56.94,68.12,3000000.0,470460,Kimchi Chicken and Cabbage Stir-Fry,Korean
65.1,33.77,100.0,32.39,39.22,31.71,0.0,1108919,Korean Glazed Grilled Pork Chops,Korean
28.03,100.0,10.51,12.08,71.23,71.07,31700.0,1071293,Korean Kimchi,Korean
21.67,100.0,9.53,10.63,23.33,67.17,8200.0,80286,Korean Short Rib Kebabs,Korean
65.24,100.0,29.21,31.52,55.88,92.29,0.0,1064062,"Kimchi Soup (Paleo, Whole30 + Keto)",Korean
28.36,100.0,27.72,16.63,58.34,58.02,27900.0,161780,Beef Bulgogi Korean Tacos,Korean
26.61,100.0,28.09,16.85,59.12,58.45,10125000.0,81530,Beef Bulgogi,Korean
33.95,100.0,28.06,20.12,57.44,54.35,700.0,1169545,Korean Chicken,Korean
30.46,100.0,12.13,17.02,26.95,69.04,188000.0,196101,Grilled Cheese with Kimchi,Korean
24.55,100.0,29.95,26.43,69.18,57.03,0.0,198136,Korean Clear Noodles with Mixed Vegetables,Korean
40.56,100.0,22.58,36.93,51.92,52.4,0.0,1510219,Korean Ground Beef,Korean
25.71,100.0,22.38,20.13,70.76,75.68,3375000.0,567452,Stir fried Kimchi and Rice (Kimchi Bokkeumbap),Korean
100.0,80.09,37.42,74.59,26.72,47.55,5950.0,857434,Spicy Korean Beef Noodles,Korean
17.4,100.0,17.27,20.51,56.67,56.6,0.0,763430,Sweet and Spicy Korean Meatballs,Korean
75.06,100.0,23.33,59.79,52.97,54.25,14000.0,764564,Gluten Free Korean Turkey and Rice Bowl,Korean
26.48,100.0,26.34,32.04,61.59,61.43,0.0,1664647,Kimchi-Lentil Stew With Poached Eggs,Korean
22.14,99.36,10.64,20.73,74.4,100.0,0.0,149745,Kimchi Fritters with Soy Dipping Sauce,Korean
25.76,69.84,37.65,100.0,17.91,8.8,3375000.0,1589705,Quick Kimchi (Mak Gimchi),Korean
50.78,100.0,16.69,30.97,55.22,82.49,99000.0,858628,Korean Kimchi Meatloaf,Korean
81.36,35.05,100.0,25.42,23.32,17.46,14900.0,789695,Korean BBQ Keto Bowl,Korean
7.97,2.24,0.0,0.0,0.0,100.0,0.0,1029855,Korean Chicken Kabobs,Korean
100.0,56.84,17.68,39.81,42.04,81.26,4800000.0,520866,Baked eggs with Bulgogi ham,Korean
56.96,100.0,35.89,26.37,58.55,54.48,73500.0,1149164,Bulgogi,Korean
42.94,100.0,28.45,19.39,59.51,61.51,45500.0,1065658,20 Minute Korean Beef,Korean
100.0,87.73,41.54,32.18,51.0,63.54,0.0,1588915,Buttery Kimchi Chicken,Korean
2.46,1.44,0.0,0.0,0.0,100.0,2400000.0,247596,Pear Kimchi and Blue Cheese Salad,Korean
43.56,100.0,33.73,31.34,73.78,73.82,5950.0,191073,Bibimbap,Korean
42.75,100.0,17.03,38.16,37.7,61.16,49500.0,861219,Korean Beef Lettuce Wraps,Korean
75.1,100.0,23.33,59.79,52.97,54.27,14000.0,858998,Chicken Bulgogi With Cabbage,Korean
82.13,100.0,5.78,31.86,0.0,51.61,0.0,301159,Korean Cabbage Wraps with Sweet-and-Sour Cucumber Salad,Korean
100.0,9.06,41.29,28.15,9.35,54.77,0.0,102540,Spicy Korean Chicken,Korean
16.76,77.89,0.0,0.0,0.0,100.0,0.0,390813,Easy Korean Beef,Korean
100.0,46.03,13.02,53.17,2.5,45.34,0.0,114031,Spicy Tofu Kimchi over Rice,Korean
51.4,100.0,31.14,34.81,72.82,66.58,5950.0,985564,Korean Beef Bowl,Korean
41.55,100.0,32.65,48.76,55.26,64.81,0.0,644135,Galbi Tang (Korean Beef Short Ribs Soup),Korean
45.95,100.0,23.7,38.0,64.84,63.3,0.0,392942,Pat Bing Soo (Korean Shaved Ice),Korean
39.47,100.0,28.38,18.55,59.5,77.19,52500.0,202179,Bacon and Kimchi Steamed Buns with Carrot and Cucumber Slaw,Korean
44.59,100.0,11.42,12.05,68.92,84.03,0.0,80189,Korean Barbecued Beef,Korean
52.21,100.0,38.61,51.34,51.74,51.08,0.0,247769,Kimchi and Bacon Grilled Cheese Sandwich,Korean
11.65,100.0,10.53,12.1,71.34,65.15,0.0,1656651,Korean Beef Kabobs,Korean
18.04,100.0,30.66,23.21,58.22,46.47,16800.0,761078,Stuffed Cucumber Kimchi,Korean
100.0,90.61,31.3,81.6,30.77,64.19,0.0,1116326,Marinated Steak Skewers with Korean BBQ Sauce,Korean
24.33,100.0,27.4,66.83,21.43,44.82,6750000.0,1038876,Korean Beef Nachos,Korean
32.1,100.0,25.93,10.07,74.47,52.04,0.0,248370,The Kimchi Rachel Sandwich (aka Roast Turkey Reuben Sandwich with Kimchi),Korean
20.38,75.34,36.16,100.0,13.37,16.84,0.0,119585,"Musangchae, Daikon (White Radish) Salad, Like Korean Radish Kimc",Korean
33.3,100.0,10.48,12.04,70.99,69.22,0.0,246342,Beef and Kimchi Stir-fry,Korean
58.9,96.73,21.81,41.57,68.61,100.0,0.0,1659935,Beef Bulgogi,Korean
14.67,100.0,17.16,26.56,69.07,60.96,0.0,474603,Star Anise Ginger Pickled Beets {+ Kimchi Pickled Beets},Korean
19.92,100.0,28.5,33.66,58.22,62.92,0.0,1069599,Easy Freezer Korean Bulgogi,Korean
27.8,100.0,10.03,14.18,22.88,69.61,0.0,320794,Q's Seoul Bulgogi and Kimchi,Korean
25.45,100.0,25.41,13.52,75.01,54.22,150000.0,116447,Simplest Korean Beef Stew,Korean
20.47,100.0,0.0,0.0,0.0,23.54,0.0,567485,Yangpun Bibimbap,Korean
19.76,100.0,28.21,16.92,59.39,48.34,0.0,641208,Dak Bulgogi - Korean BBQ Chicken,Korean
39.47,100.0,28.38,18.55,59.5,77.63,52500.0,1122254,Korean Glass Noodles with Chicken & Vegetables (Japchae ),Korean
53.44,100.0,0.0,0.0,0.0,12.06,0.0,648916,Kimchi/Kimchee/Gimchi (Korean Fermented Spicy Cabbage),Korean
28.48,100.0,20.0,26.58,61.49,70.72,0.0,81379,Bulgogi,Korean
47.47,100.0,29.69,29.04,69.76,62.57,1217850.0,879458,Basic Bulgogi,Korean
78.37,100.0,26.47,40.24,57.28,84.44,3600000.0,1068246,"Kimchi Soup with Shiitakes, Tofu and Kale",Korean
53.32,100.0,27.05,26.37,53.52,83.05,11900.0,1124520,Korean BBQ Chicken (Paleo + Whole30),Korean
100.0,93.24,7.07,38.96,0.0,5.07,800000.0,1041758,Korean Fried Cauliflower,Korean
23.96,100.0,29.21,18.11,59.18,50.7,0.0,890167,Loaded Kimchi Fries,Korean
88.65,100.0,11.37,25.78,2.25,23.38,0.0,649062,Korean Perilla Pesto,Korean
28.4,65.39,22.81,39.87,47.28,100.0,0.0,757329,Crispy Kimchi Noodle Pancake,Korean
15.42,100.0,22.77,34.55,24.72,16.48,0.0,567494,Steamed Kimchi Dumplings (Jjin Kimchi Mandu),Korean
100.0,1.98,45.97,28.92,3.47,52.21,0.0,80088,Korean Bbq Marinade,Korean
100.0,11.9,0.0,0.0,0.0,52.2,0.0,1592549,Bulgogi Beef,Korean
15.37,2.18,0.0,0.0,0.0,100.0,0.0,586963,Spicy Korean Tacos with Kimchi,Korean
73.33,85.11,36.63,45.17,100.0,92.13,5950.0,1105966,Korean Beef Bulgogi,Korean
15.37,2.18,0.0,0.0,0.0,100.0,0.0,404509,Korean Spinach Salad,Korean
