sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
61.57,43.33,88.44,42.08,21.69,100.0,147000.0,219074,Ceviche,Latin American
51.76,100.0,29.29,23.59,24.47,66.18,3725.0,902577,The Best Chimichurri : a Chimichurri Marinade & Steak Sauce,Latin American
70.59,100.0,26.98,16.18,56.8,95.61,20000.0,1522495,Chimichurri Marinade and Sauce,Latin American
23.8,100.0,28.97,18.98,58.87,57.82,0.0,1497079,Carne Asada,Latin American
23.27,100.0,28.4,17.1,58.9,84.57,0.0,81792,Flank Steak with Chimichurri,Latin American
16.18,100.0,28.13,16.87,59.2,48.16,0.0,945007,Carne Asada Steak Tacos with Fries,Latin American
31.73,89.07,40.09,19.34,51.83,100.0,88400.0,563279,Chimichurri Sauce,Latin American
28.81,100.0,46.57,20.77,59.21,65.81,7500.0,116461,Brazil Nut Loaf,Latin American
48.01,94.81,8.09,5.29,43.73,100.0,2975.0,1697719,"Ceviche - a Fancy, Expensive Seafood Dish Made Easy at Home",Latin American
72.59,39.68,100.0,47.31,15.45,30.1,10125000.0,746767,Mahi Mahi Ceviche,Latin American
100.0,10.49,55.37,27.18,7.4,32.79,22350.0,893869,Chimichurri Steak Wraps,Latin American
10.22,1.92,0.0,0.0,0.0,100.0,73500.0,1634299,Roasted Potatoes with Arugula Chimichurri,Latin American
39.7,100.0,34.07,21.15,58.58,96.89,29800.0,706832,Chimichurri Sauce,Latin American
36.91,100.0,52.82,19.03,73.99,48.36,22500.0,4138,Seafood Ceviche,Latin American
24.81,100.0,9.45,10.55,23.14,71.59,0.0,226912,Carrot Soup (Sopa de Zanahoria),Latin American
25.52,100.0,30.43,18.71,55.71,54.49,14900.0,226482,Corn and Coconut Soup (Sopa de Chocolo y Coco),Latin American
16.6,100.0,28.1,16.86,59.15,72.8,3375000.0,1120591,Carne Asada Burrito Bowls,Latin American
33.53,100.0,54.2,42.62,57.01,96.83,52500.0,81426,Carne Asada,Latin American
38.31,100.0,13.34,16.5,69.87,92.56,264300.0,81421,Carne Asada with Black Beans,Latin American
1.86,2.11,0.0,0.0,0.0,100.0,0.0,548679,Low Calorie Chimichurri Sauce – 1 Points,Latin American
21.3,100.0,33.02,18.76,62.59,50.41,81700.0,281741,Slow-Cooker Pork Loin Carnita Tacos with Chimichurri Sauce,Latin American
41.69,100.0,64.38,24.7,60.15,58.09,20000.0,85204,Fanesca (Spring Soup),Latin American
27.17,100.0,17.89,36.52,33.87,55.87,0.0,551952,Fresh and Simple Swai Ceviche,Latin American
10.72,92.87,20.95,22.53,59.06,100.0,99000.0,3704,California Ceviche,Latin American
17.26,100.0,27.82,16.69,58.55,72.24,2250000.0,430295,Cuban Chimichurri,Latin American
18.59,100.0,27.47,16.48,57.82,54.58,0.0,21653,Yellowtail Ceviche With Avocado And Tomatillo Sauce,Latin American
19.24,100.0,16.31,9.82,73.85,53.22,479950.0,149002,Chimichurri (From Eating Well),Latin American
33.08,100.0,21.15,47.02,35.46,49.41,2261900.0,226659,White Bean Soup (Sopa de Frijoles Blancos),Latin American
39.15,100.0,51.02,22.61,59.86,96.62,172500.0,299161,Chipotle-Marinated Pork Chops with Chimichurri Sauce,Latin American
36.51,100.0,50.64,78.78,61.52,84.61,0.0,144827,Chimichurri Sauce,Latin American
12.54,2.44,1.42,1.01,0.1,100.0,0.0,676051,Spicy Mexican Ceviche,Latin American
