sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
34.27,100.0,74.51,41.28,33.5,76.91,0.0,623740,"Balsamic Butternut, Kale and Cranberry Panzanella",Mediterranean
100.0,34.1,21.02,63.53,0.76,16.75,300000.0,560536,Greek Flatbreads,Mediterranean
31.82,100.0,33.49,19.89,67.52,65.88,7450.0,795114,Grilled Zucchini Gyros with Sun-Dried Tomato Tzatziki,Mediterranean
100.0,73.03,78.06,92.44,38.63,61.09,0.0,481288,Orecchiette ai broccoletti (Orecchiette Pasta with Broccoli Rabe),Mediterranean
50.17,100.0,56.64,43.81,47.13,87.47,0.0,696479,French Country Beef Stew,Mediterranean
100.0,60.68,78.09,28.27,46.56,54.03,0.0,769674,The Best Vegan Lasagna,Mediterranean
25.82,100.0,10.05,13.09,24.53,87.85,0.0,796576,Vegan Spaghetti alla Puttanesca,Mediterranean
16.43,42.07,2.06,0.96,5.61,100.0,0.0,492012,Roasted Greek Potatoes with Feta and Lemon,Mediterranean
16.64,100.0,57.34,46.53,44.55,77.51,900000.0,429318,Italian Lentil Soup,Mediterranean
61.15,100.0,57.01,46.64,88.89,71.84,0.0,215339,Imam bayildi with BBQ lamb & tzatziki,Mediterranean
80.69,82.6,100.0,74.87,49.41,62.76,8200.0,196504,"Easy Pan Pizza With Potato, Onion, and Rosemary (Vegan)",Mediterranean
62.67,42.33,89.09,55.57,18.52,100.0,7450.0,602771,Farro Greek Salad with Feta and Dill,Mediterranean
100.0,77.08,82.2,45.64,54.69,43.57,0.0,990325,Pasta Fagioli (Pasta and Beans),Mediterranean
100.0,16.06,34.38,14.2,10.75,65.81,1800000.0,678208,Greek Farro Salad,Mediterranean
47.48,100.0,27.89,26.62,37.55,54.74,0.0,485066,Eggplant Parmesan Pasta,Mediterranean
80.16,91.51,94.27,100.0,85.02,83.32,0.0,27050,Roasted Tomato And Garlic Pizza Sauce,Mediterranean
31.41,15.69,36.0,25.57,2.5,100.0,10000.0,563896,Greek Inspired Zucchini Pasta – Feta Turkey Meatballs,Mediterranean
88.34,90.93,52.99,61.79,40.55,100.0,322350.0,596142,Brussels Sprouts and Tempeh,Mediterranean
22.62,100.0,24.21,23.28,70.99,60.8,5950.0,551290,crock pot italian beef sandwiches,Mediterranean
25.9,100.0,26.26,18.08,53.8,57.54,0.0,584814,"Kale, Mushroom & Sun-Dried Tomato Lasagna Rolls {Vegetarian}",Mediterranean
30.04,100.0,12.25,12.07,26.92,79.87,11900.0,717893,Light Italian One Pot Salmon & Orzo,Mediterranean
73.66,98.62,57.41,49.65,75.45,100.0,29800.0,913118,Gnocchi with Quick Meat Sauce,Mediterranean
100.0,21.36,13.13,41.71,10.93,41.57,67050.0,300215,Cannellini Bean Soup with Kale and Garlic-Olive Oil Crostini,Mediterranean
100.0,12.65,11.8,0.0,5.2,52.8,3375000.0,199599,"Easy No-Roll, No-Stretch Sicilian-Style Square Pizza at Home",Mediterranean
32.28,100.0,38.29,56.48,58.12,68.97,0.0,359421,Slow Cooker Mushroom Barley Risotto,Mediterranean
15.75,7.09,23.84,16.93,1.65,100.0,0.0,200181,Summer Ratatouille with Pasta,Mediterranean
49.45,100.0,45.93,32.29,60.71,98.24,1750.0,522902,Spinach Lasagna – A Great Vegetarian Alternative for Wednesday,Mediterranean
