sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
2.89,2.41,4.57,3.24,0.32,100.0,0.0,31532,Chickpea Falafel,Middle Eastern
48.76,18.79,100.0,49.69,14.6,79.76,5950.0,711281,Roasted Beet Hummus (VIDEO),Middle Eastern
50.93,76.54,100.0,75.9,37.48,41.87,0.0,1418009,Tabbouleh Salad,Middle Eastern
15.67,53.85,68.35,79.71,24.64,100.0,0.0,100251,Garlicky Hummus,Middle Eastern
49.14,4.12,45.13,32.05,3.13,100.0,6761900.0,31526,Falafel,Middle Eastern
40.55,10.59,61.57,43.73,4.27,100.0,36750.0,80786,Roasted Jalapeño And Lime Hummus,Middle Eastern
51.7,100.0,22.12,31.68,44.55,96.28,0.0,210019,Lebanese poussin with spiced aubergine pilaf,Middle Eastern
44.14,11.12,0.0,0.0,0.0,100.0,0.0,493821,Hummus And Cauliflower Tartines,Middle Eastern
37.97,33.56,100.0,52.63,22.47,40.56,50.0,562597,Mediterranean Raw Wrap With Red Pepper and Bean Free Hummus,Middle Eastern
38.51,14.71,100.0,78.45,9.81,69.69,0.0,986455,Easy Lebanese Salad,Middle Eastern
37.87,10.46,13.92,9.88,0.96,100.0,395800.0,539235,Savory Pumpkin Hummus,Middle Eastern
28.56,17.89,83.97,72.58,7.71,100.0,3725.0,711208,Hot Bacon Cherry Pepper Hummus with Pizza Pita Chips,Middle Eastern
20.2,100.0,41.09,32.49,53.69,50.39,0.0,510525,Wasabi Hummus,Middle Eastern
19.82,7.42,33.8,24.19,2.57,100.0,0.0,559108,Vegetarian Hummus Pita Pizza,Middle Eastern
22.43,83.64,100.0,79.5,53.68,41.26,0.0,510266,Buffalo Wing Hummus,Middle Eastern
21.45,100.0,26.92,24.94,52.74,53.35,0.0,248246,"Moroccan Spiced Pumpkin Hummus (Naturally Vegan, Gluten-Free, and Soy-Free)",Middle Eastern
100.0,34.16,88.43,43.01,61.22,48.69,36000.0,480946,Classic Hummus,Middle Eastern
31.52,61.39,54.67,100.0,12.73,70.19,0.0,669813,Butter Bean Edamame Hummus,Middle Eastern
15.83,5.78,22.12,15.71,1.53,100.0,20000.0,1004534,Cauliflower Tabbouleh,Middle Eastern
28.21,100.0,40.02,21.38,72.15,56.0,0.0,508092,Traditional Hummus,Middle Eastern
89.95,96.3,100.0,78.63,51.63,94.56,7450.0,724220,Spinach Chickpea Falafel with Lemon Yogurt Sauce,Middle Eastern
28.67,10.54,75.2,53.4,5.21,100.0,0.0,286511,Middle Eastern Vegetable Salad,Middle Eastern
19.09,100.0,15.22,17.28,70.07,88.06,4966.67,612483,Sun Dried Tomato Hummus,Middle Eastern
26.01,39.75,100.0,62.79,26.53,61.03,0.0,970950,Sun-Dried Tomato Eggplant & Hummus Stuffed Pita,Middle Eastern
28.48,100.0,52.74,63.9,36.45,80.12,0.0,666812,Egg and Hummus Breakfast Wrap ‹ Hello Healthy,Middle Eastern
30.09,100.0,50.44,40.73,56.8,64.2,3725.0,512048,Pumpkin Hummus,Middle Eastern
57.42,100.0,94.41,82.81,47.93,53.15,14900.0,596434,The Smoothest Roasted Red Pepper and Chipotle Hummus,Middle Eastern
35.75,57.53,34.07,27.96,39.35,100.0,0.0,31883,Garbanzo Green Garlic Hummus With Preserved Lemon And Sesame Seeds,Middle Eastern
18.63,12.6,65.46,36.45,8.14,100.0,0.0,609770,Roasted Red Pepper Hummus,Middle Eastern
39.59,64.33,100.0,57.74,40.0,66.44,0.0,101396,Tabbouleh a La Paula Wolfert,Middle Eastern
28.85,1.67,9.3,6.6,0.64,100.0,0.0,548883,Couscous and Garbanzo Bean Tabbouleh – 4 Points,Middle Eastern
100.0,4.24,28.69,20.01,5.63,13.01,0.0,203875,Make-Ahead Radish Fattoush Salad,Middle Eastern
19.5,100.0,15.07,22.68,26.26,61.47,0.0,501501,Spinach and Artichoke Hummus,Middle Eastern
4.33,1.03,0.0,0.0,0.0,100.0,0.0,31864,Homemade Hummus,Middle Eastern
58.81,49.92,100.0,47.4,27.28,38.73,0.0,617669,Sweet Maple Pumpkin Spice Hummus,Middle Eastern
38.81,1.45,7.76,4.04,0.94,100.0,0.0,559846,Pizza Hummus,Middle Eastern
47.57,100.0,75.99,71.24,44.28,99.82,0.0,83830,Best Basic Falafel Recipe,Middle Eastern
32.3,61.31,100.0,80.36,31.2,46.64,0.0,103150,Middle Eastern Style Black Bean Salad,Middle Eastern
59.83,23.05,100.0,47.81,17.22,47.32,5950.0,198355,Healthy & Delicious: Tabbouleh Salad,Middle Eastern
40.87,13.26,100.0,76.58,41.72,92.94,0.0,951707,Middle Eastern Salad Tacos,Middle Eastern
47.75,3.92,41.08,29.17,2.85,100.0,108000.0,521618,Grilled Swordfish Over Fattoush,Middle Eastern
54.42,25.79,100.0,39.27,18.34,29.65,0.0,491976,Chickpea Flour Falafel Pitas,Middle Eastern
57.07,6.91,100.0,71.01,6.93,84.02,160587.5,1078054,"Hearty Hummus Toast with Avocado, Arugula, and Pistachios",Middle Eastern
24.02,100.0,21.38,19.0,23.86,75.84,29800.0,37453,Edamame Hummus,Middle Eastern
21.58,100.0,25.99,10.09,74.63,53.23,0.0,798640,Beet Noodle Falafel Bowls from Inspiralized Everything,Middle Eastern
6.07,8.0,84.0,61.5,6.09,100.0,0.0,227661,"Carrot, Hummus & Avocado Sandwiches",Middle Eastern
26.05,8.05,0.0,0.0,0.0,100.0,0.0,393816,Cucumber Hummus,Middle Eastern
100.0,2.91,0.0,0.0,0.0,62.31,0.0,414152,Vegetarian Hummus Wraps,Middle Eastern
13.53,16.02,90.72,58.18,8.53,100.0,0.0,103610,Cousa Mashi - Arabic Stuffed Zucchini,Middle Eastern
38.49,100.0,28.4,41.59,40.02,65.53,0.0,709987,Mediterranean Hummus Without Tahini,Middle Eastern
7.27,6.94,51.39,36.5,3.56,100.0,150.0,479699,Homemade Hummus and Spicy Turkish Ezme Salad,Middle Eastern
23.25,100.0,26.41,70.06,30.7,53.49,20000.0,642121,Easy Tabouleh,Middle Eastern
50.9,90.21,100.0,65.51,49.47,78.96,0.0,959492,Smoky Black Eyed Pea Hummus,Middle Eastern
74.8,8.61,40.25,28.58,2.79,100.0,20000.0,516740,Pine Nut and Cilantro Hummus,Middle Eastern
35.29,64.89,79.97,64.25,32.3,100.0,0.0,963704,Oven Roasted Chicken Shawarma,Middle Eastern
37.8,59.86,55.23,100.0,12.71,65.55,3375000.0,758805,Moroccan Whole Chickpea Hummus,Middle Eastern
52.7,16.82,100.0,32.53,13.65,75.35,16000.0,681112,Pickled Carrot and Hummus Sandwich,Middle Eastern
66.35,67.35,100.0,46.12,41.15,95.69,22350.0,27426,Sun Dried Tomato Hummus With Crispy Chips,Middle Eastern
71.57,27.11,100.0,33.93,20.26,33.28,0.0,562718,Vegan Puffy Tacos with Cumin-Spiced Hummus,Middle Eastern
9.86,7.14,55.17,39.18,3.82,100.0,0.0,100532,Hummus,Middle Eastern
42.89,100.0,79.07,54.1,58.5,61.21,42700.0,31922,Hummus,Middle Eastern
17.78,100.0,22.67,18.55,70.38,55.96,0.0,612338,Roasted Garlic Hummus and a Giveaway,Middle Eastern
42.09,34.31,100.0,47.22,23.81,58.29,0.0,203048,Dinner Tonight: Hummus with Ground Lamb and Almonds,Middle Eastern
100.0,29.82,10.37,6.66,15.97,58.17,0.0,31983,Hummus,Middle Eastern
24.23,100.0,19.06,25.63,33.83,62.44,0.0,1137830,Roasted Garlic Hummus Mashed Potatoes,Middle Eastern
14.13,9.03,59.14,41.82,4.16,100.0,0.0,590867,Cilantro Jalapeno Hummus,Middle Eastern
20.17,30.35,62.99,38.85,18.4,100.0,0.0,649405,Lebanese Lentil Soup,Middle Eastern
12.87,1.9,0.07,0.41,0.0,100.0,1478.0,711535,Beet Hummus,Middle Eastern
4.52,13.21,45.78,39.88,4.25,100.0,0.0,803239,Hummus Mashed Chickpea Sandwiches,Middle Eastern
20.5,77.41,95.62,100.0,29.35,42.04,0.0,613175,Baba Ghanoush,Middle Eastern
99.85,71.19,96.33,100.0,40.36,68.54,0.0,344123,Steak and Hummus Sandwiches,Middle Eastern
54.83,100.0,80.22,35.13,59.73,43.71,0.0,212019,Tabbouleh,Middle Eastern
20.72,100.0,9.47,10.57,23.2,81.59,22350.0,516373,Tomato Basil Hummus,Middle Eastern
3.18,1.55,0.0,0.0,0.0,100.0,0.0,841005,Spinach Artichoke Hummus,Middle Eastern
31.48,13.72,100.0,59.94,11.84,22.01,5950.0,537188,Hummus Olive Goat Cheese Flatbread,Middle Eastern
67.61,5.21,24.01,21.03,2.25,100.0,78750.0,702014,Homemade Hummus with Kale Pesto and Tomatoes,Middle Eastern
18.15,100.0,9.46,10.56,23.17,78.77,0.0,23871,Grilled Eggplant Baba Ganoush,Middle Eastern
100.0,29.79,14.93,9.59,23.0,72.95,0.0,496968,Summer Corn and Nectarine Tabbouleh,Middle Eastern
27.29,60.75,24.18,20.03,9.88,100.0,7000.0,559036,Falafel Veggie Burger with Feta Yogurt Sauce,Middle Eastern
74.44,46.58,100.0,25.42,23.32,25.09,73500.0,842733,Chicken Shawarma Tabbouleh Salad,Middle Eastern
65.28,68.73,93.56,100.0,21.27,99.84,2381880.0,113098,Butter Bean Hummus,Middle Eastern
60.32,52.88,100.0,53.59,31.79,64.3,18000.0,1032092,Butternut Squash and Bell Pepper Hummus Wrap,Middle Eastern
40.33,7.89,0.0,0.0,0.0,100.0,20000.0,27556,Tabbouleh With Watermelon,Middle Eastern
38.07,71.22,100.0,62.79,42.91,77.17,0.0,665378,Winter Fattoush Salad,Middle Eastern
56.24,61.33,86.61,100.0,34.08,78.44,14900.0,100845,Spicy Chickpea Dip (Hummus),Middle Eastern
92.52,15.0,63.52,50.59,5.2,100.0,29800.0,837249,Fattoush,Middle Eastern
42.15,2.1,34.28,24.34,2.38,100.0,23800.0,548516,Grilled Middle Eastern Turkey Kebabs with Cucumber Yogurt Dip – 6 Points,Middle Eastern
51.92,61.93,100.0,68.8,33.3,49.18,14900.0,670110,Fattoush Salad,Middle Eastern
71.62,5.7,21.06,14.96,1.46,100.0,0.0,195402,Cooking from the Glossies: White Bean and Roasted Garlic Hummus,Middle Eastern
17.43,58.23,56.92,100.0,12.65,93.28,0.0,80777,Roasted Jalapeño & Lime Hummus,Middle Eastern
2.37,1.64,0.0,0.0,0.0,100.0,0.0,751214,Middle Eastern Chicken Burgers,Middle Eastern
58.61,15.46,100.0,55.0,12.69,76.8,1862.5,427363,Spring Pea & Mint Hummus,Middle Eastern
38.49,86.9,100.0,91.59,41.88,49.1,0.0,802892,Spicy Pumpkin Hummus,Middle Eastern
6.96,22.77,42.42,29.92,5.16,100.0,0.0,924326,Spinach Hummus Lunch Wraps,Middle Eastern
100.0,5.96,67.96,36.66,11.32,50.87,1862.5,606656,Cheesy Margarita Pizza Hummus with Grilled Pesto Pizza Bread,Middle Eastern
30.45,9.64,90.08,63.97,6.24,100.0,320000.0,1162572,Zucchini and Hummus Pita Sandwiches Recipe,Middle Eastern
100.0,3.86,33.98,24.13,2.36,58.82,0.0,468763,Couscous Tabbouleh with Fresh Mint & Feta,Middle Eastern
69.03,36.85,100.0,60.93,24.15,91.11,0.0,558842,Roasted Garlic Hummus,Middle Eastern
64.23,38.89,100.0,43.81,26.31,72.41,29800.0,103703,Baba Gannoujh -- Middle Eastern Eggplant Spread,Middle Eastern
71.03,33.59,100.0,25.76,23.45,63.11,0.0,250331,Quinoa Tabbouleh Arugula Salad,Middle Eastern
38.54,100.0,28.37,33.04,46.02,54.31,5950.0,15275,"Hummus, Onion Relish, And Honey-lime Kale Sandwich",Middle Eastern
56.87,25.06,100.0,37.93,18.82,72.14,36750.0,91131,White Bean and Edamame Hummus Recipe,Middle Eastern
61.84,86.31,100.0,84.54,37.66,34.0,0.0,713372,Sweet and Spicy Hummus Big Game Day Party,Middle Eastern
25.63,8.77,25.28,20.55,4.02,100.0,62350.0,248468,Pomegranate Tabbouleh Salad,Middle Eastern
8.95,1.61,16.07,11.41,1.11,100.0,0.0,510843,Greek Hummus,Middle Eastern
100.0,0.75,13.06,5.87,2.13,16.43,0.0,714192,Quinoa Tabbouleh with Feta,Middle Eastern
32.27,85.39,100.0,96.11,39.84,84.2,0.0,474318,Ghoulish “Bloody Brains” Roasted Cauliflower and Beet Hummus,Middle Eastern
54.51,53.84,64.31,100.0,28.79,84.26,0.0,485852,Middle Eastern Beef Gyro with Tzaziki Sauce,Middle Eastern
17.97,5.62,66.32,47.1,4.6,100.0,246.45,608711,Tabbouleh with Cilantro and Feta,Middle Eastern
43.28,100.0,31.33,47.64,38.37,88.2,22350.0,586945,Moroccan Spiced Carrot Hummus,Middle Eastern
18.1,2.24,0.0,0.0,0.0,100.0,0.0,698981,Lebanese Fattoush Salad with Grilled Chicken,Middle Eastern
38.74,24.1,21.13,14.25,17.76,100.0,0.0,626240,Slow Cooker Lebanese Meatballs {Gluten Free} – $2500 Giveaway,Middle Eastern
42.69,95.64,63.63,30.99,55.59,100.0,0.0,551701,Roasted eggplant hummus,Middle Eastern
59.31,22.7,100.0,45.09,16.25,53.44,20850.0,584362,Asparagus Hummus for Healthy Snacking,Middle Eastern
36.99,100.0,73.73,77.42,40.83,75.4,0.0,590778,Avocado Hummus + Whole Wheat Pita Chips,Middle Eastern
22.16,11.8,26.23,6.67,6.12,100.0,75362.5,123725,Tabbouleh,Middle Eastern
100.0,42.13,49.78,90.06,2.66,27.61,0.0,933983,Middle Eastern Chicken & Chickpea Stew,Middle Eastern
33.01,100.0,22.14,31.72,44.6,64.49,5950.0,1022816,Clean Eating Kale And Hummus Wrap,Middle Eastern
67.54,100.0,69.15,21.28,68.85,65.46,5950.0,837239,Quinoa Tabbouleh,Middle Eastern
100.0,54.85,44.11,84.11,29.66,69.78,14900.0,604942,Feta Cheese and Avocado Hummus Dip,Middle Eastern
37.93,3.94,70.17,49.83,4.86,100.0,0.0,21593,Herby Avocado Hummus,Middle Eastern
7.03,4.76,51.94,36.88,3.6,100.0,0.0,510306,Chipotle Hummus,Middle Eastern
46.26,100.0,48.02,45.67,59.2,56.17,29800.0,103183,Arabic Salad,Middle Eastern
64.78,10.33,77.3,54.9,5.36,100.0,0.0,534558,Very Veggie Tabbouleh,Middle Eastern
22.96,32.02,57.33,47.82,10.88,100.0,0.0,706012,7-Layer Hummus Dip,Middle Eastern
3.51,2.1,0.0,0.0,0.0,100.0,0.0,980085,Coconut Curry Hummus,Middle Eastern
33.43,20.48,100.0,71.01,6.93,97.24,10150.0,511199,Peanut Butter Cookie Hummus / Weekly Recap,Middle Eastern
52.63,70.67,100.0,49.53,43.86,58.31,0.0,99152,Baked Falafel Sandwich,Middle Eastern
64.65,100.0,93.64,79.04,50.98,79.12,0.0,604203,Roasted Garlic Kale Hummus from Let Them Eat Kale,Middle Eastern
40.5,43.32,100.0,98.1,16.67,68.79,0.0,508993,Kale and Black Bean Falafel,Middle Eastern
95.51,76.73,100.0,31.83,45.08,98.39,7450.0,556914,Middle Eastern Spice Blend,Middle Eastern
43.54,24.88,40.97,28.37,18.73,100.0,0.0,586194,Baked Falafel with Tahini Sauce,Middle Eastern
66.05,100.0,99.77,62.13,51.63,37.34,0.0,626257,Black Bean Hummus,Middle Eastern
70.18,100.0,28.27,54.08,40.16,71.39,20000.0,548869,Middle Eastern Olive Chicken – 8 Points,Middle Eastern
27.22,91.13,68.15,62.45,42.56,100.0,0.0,510223,Roasted Beet Hummus,Middle Eastern
51.66,92.95,94.34,52.71,55.0,100.0,0.0,22964,Quinoa Tabbouleh,Middle Eastern
100.0,54.16,7.47,8.65,3.84,65.48,3375000.0,482965,Veggie Hummus Pizza,Middle Eastern
19.47,10.91,100.0,71.01,6.93,21.54,0.0,534145,Greek Style Chicken Skewers and Hummus,Middle Eastern
41.36,16.31,32.73,17.15,7.87,100.0,40000.0,471660,Coriander Tabbouleh Salad with Shrimp,Middle Eastern
32.52,32.28,80.77,36.86,20.14,100.0,0.0,521604,Avocado Cilantro Hummus,Middle Eastern
35.29,100.0,29.07,47.35,53.11,65.68,0.0,525534,How To Make Baklava,Middle Eastern
31.97,100.0,51.14,82.11,33.28,47.61,0.0,721804,"Cauliflower Shawarma with Pomegranate, Tahini, and Pine Nuts",Middle Eastern
10.44,2.37,13.76,9.77,0.95,100.0,9000.0,974204,Edamame Hummus Wrap,Middle Eastern
82.96,65.86,100.0,68.82,32.23,34.13,0.0,539155,Quinoa Tabouleh,Middle Eastern
24.06,3.01,1.07,2.97,0.4,100.0,0.0,965678,Mediterranean Sorghum Tabbouleh and Chickpea Lettuce Wraps,Middle Eastern
31.85,8.39,78.69,55.88,5.45,100.0,0.0,696039,Lebanese Cabbage Rolls,Middle Eastern
55.08,5.12,69.9,49.64,4.85,100.0,1850.0,630675,Quinoa Tabbouleh Salad,Middle Eastern
1.59,2.37,16.29,11.57,1.13,100.0,0.0,765345,Baked Green Falafel with Three Dipping Sauces,Middle Eastern
62.05,100.0,34.46,40.6,50.0,66.23,8000.0,510318,Baba Ganoush (Eggplant Dip),Middle Eastern
5.46,3.98,0.0,0.0,0.0,100.0,0.0,762047,Creamy Peanutty Hummus,Middle Eastern
41.54,100.0,31.51,48.03,38.75,84.86,0.0,482563,Beef Shawarma with Cucumber Yogurt Sauce,Middle Eastern
42.44,20.3,57.64,29.15,14.85,100.0,320000.0,144410,Lebanese Spiced Potatoes (Batata Harra),Middle Eastern
45.21,17.58,100.0,53.99,14.07,96.25,8200.0,750442,Quinoa Tabbouleh with Feta,Middle Eastern
100.0,59.61,40.4,81.44,26.42,85.84,10000.0,31975,Hummus,Middle Eastern
1.89,9.2,31.76,22.56,2.2,100.0,11000.0,22182,Roasted Red Pepper Hummus,Middle Eastern
18.21,2.93,35.31,25.07,2.45,100.0,0.0,483850,Roasted Red Pepper Hummus {$100 Visa Giveaway!},Middle Eastern
100.0,39.09,65.45,98.41,3.79,36.0,0.0,22255,Garden Hummus Pizza,Middle Eastern
30.67,25.27,70.61,36.51,17.32,100.0,0.0,982037,Falafel Fritters Bowl with Cucumbers and Yogurt Sauce,Middle Eastern
100.0,53.54,89.2,46.94,39.46,75.64,239750.0,859939,Grilled Baba Ganoush,Middle Eastern
56.16,100.0,83.87,62.19,47.24,85.88,7450.0,1008318,Chicken Shawarma Kebab Salad,Middle Eastern
63.22,7.11,66.01,46.88,4.58,100.0,4000.0,765568,Lemon Sun-Dried Tomato Hummus and Goat Cheese Pesto Bites,Middle Eastern
37.45,59.53,56.92,100.0,12.65,99.25,11900.0,589428,"Farak Hummus, Served Hot",Middle Eastern
46.71,10.76,30.29,21.51,2.1,100.0,0.0,542290,Lebanese Tabbouleh,Middle Eastern
80.03,43.33,100.0,26.63,27.41,23.86,14174.75,101056,Slimming World Friendly Hummus,Middle Eastern
60.32,100.0,93.28,82.17,47.82,98.66,0.0,480993,Middle Eastern Nachos,Middle Eastern
30.35,15.58,100.0,55.17,12.62,72.89,0.0,103378,Baba Ghanoush,Middle Eastern
15.86,100.0,8.45,7.72,10.93,56.5,0.0,616881,Moroccan-Spiced Pumpkin Hummus,Middle Eastern
55.6,10.93,68.0,48.29,4.71,100.0,0.0,479050,On the Job: Artichoke Hummus,Middle Eastern
31.45,11.03,3.49,9.66,1.29,100.0,16400.0,584054,Slow Roasted Tomato Hummus,Middle Eastern
4.24,14.57,2.73,7.56,1.01,100.0,0.0,516126,Roasted Garlic Hummus,Middle Eastern
100.0,43.03,57.43,53.19,11.68,79.04,0.0,853910,Chipotle Hummus Stuffed Potato Bites,Middle Eastern
65.96,26.78,14.52,9.85,11.13,100.0,37250.0,551695,Grilled Fattoush,Middle Eastern
27.46,17.62,57.05,49.71,5.3,100.0,73500.0,197814,Essentials: Hummus,Middle Eastern
100.0,9.22,49.11,41.3,2.3,51.2,74500.0,536584,Hummus,Middle Eastern
48.94,80.3,100.0,54.41,48.29,59.1,0.0,580443,"Roasted Beet Hummus: Hearty, Healthy Dip",Middle Eastern
42.01,93.94,37.06,72.44,20.11,100.0,0.0,206398,Cook the Book: Al Halabi Style Kebabs with Potato Moutabel,Middle Eastern
45.99,3.26,51.72,36.73,3.59,100.0,2483.33,516298,Healthy Turkey Hummus Spinach Wrap,Middle Eastern
10.69,10.79,100.0,71.01,6.93,66.44,4000.0,101593,Lebanese Lentil and Swiss Chard Soup,Middle Eastern
33.33,18.61,100.0,57.02,11.96,53.82,3725.0,225292,Kale tabbouleh,Middle Eastern
52.66,6.0,11.93,5.36,1.94,100.0,20000.0,838830,Roasted Garlic Hummus,Middle Eastern
100.0,8.44,54.28,40.16,4.0,68.84,44700.0,798292,Market Veggie Board with Roasted Corn Jalapeno Hummus + Honey Whipped Goat Cheese,Middle Eastern
66.81,65.68,100.0,44.55,41.21,44.24,0.0,713315,Spicy Chipotle Hummus Pasta,Middle Eastern
31.87,8.41,78.75,55.92,5.46,100.0,420.0,23268,The Perfect Basic Tabbouleh Recipe,Middle Eastern
