sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
51.09,100.0,42.71,32.61,68.65,64.9,1500.0,60205,Swedish Gooey Chocolate Cake,Nordic
21.25,100.0,35.97,58.71,40.03,31.61,900000.0,410576,Swedish Cream Apple Rings,Nordic
45.78,100.0,20.15,20.51,62.61,93.2,629800.0,689509,Swedish vanilla and almond cake,Nordic
42.28,100.0,42.0,42.02,60.42,55.8,22350.0,387685,Swedish Cinnamon Twists,Nordic
100.0,30.9,23.44,32.84,5.71,10.75,0.0,840853,Tosca Cake aka Swedish Almond Cake,Nordic
21.98,100.0,22.73,27.71,55.42,53.66,0.0,500725,Finnish Cardamom Loaf,Nordic
35.98,100.0,14.84,18.8,60.59,73.67,0.0,952745,Finnish Whipped Porridge with Yogurt Cream (Vispipuuro),Nordic
55.83,100.0,23.61,31.54,69.88,75.51,0.0,22740,Gravlax On Cucumbers With Chive Yogurt,Nordic
43.37,100.0,57.41,45.21,54.93,33.71,75000.0,141855,Swedish Eggs,Nordic
35.68,79.51,11.96,18.46,42.24,100.0,0.0,130953,Swedish Nut Cake,Nordic
76.34,46.8,48.51,46.35,100.0,92.78,0.0,373548,Swedish Doughnuts,Nordic
22.78,100.0,14.21,10.74,38.42,73.57,0.0,871459,Swedish Almond Cake Topped with Toasted Almonds,Nordic
37.78,87.01,16.54,40.8,71.46,100.0,0.0,64517,Swedish Gingerbread House,Nordic
23.67,100.0,13.11,14.69,67.5,59.43,0.0,420450,Classic Swedish Meatballs,Nordic
34.73,100.0,26.82,16.26,41.3,64.91,0.0,424170,Swedish Christmas Rice Pudding,Nordic
59.58,100.0,27.37,32.47,72.25,69.88,0.0,658970,Saffron Buns - Swedish Lussebullar,Nordic
29.36,100.0,13.65,18.05,63.17,66.44,0.0,316245,Swedish Pancakes,Nordic
28.42,100.0,17.99,14.95,50.18,82.95,0.0,444208,Swedish Puff Coffee Cake,Nordic
39.84,100.0,23.27,10.34,58.03,39.02,0.0,450310,Swedish Raspberry Almond Bars,Nordic
41.87,100.0,23.09,26.67,78.33,82.28,0.0,602723,Whole Wheat Kanelbullar (Swedish Cinnamon Buns),Nordic
100.0,8.27,0.0,0.0,0.0,8.68,0.0,667562,Juicy and Tender Swedish Meatballs With Rich Gravy,Nordic
17.76,100.0,10.68,11.67,46.04,70.98,0.0,1143685,Finnish Cardamom Rolls,Nordic
35.68,79.51,11.96,18.46,42.24,100.0,0.0,434497,Fruited Swedish Tea Ring,Nordic
100.0,2.88,64.89,34.93,7.88,8.14,0.0,622734,"Christmas Cookies: Norwegian Christmas Cookies, Carrot Spiced Plum Preserve Crescents and Chocolate Orange",Nordic
31.15,100.0,24.7,21.55,57.3,65.35,0.0,434384,Swedish Creme,Nordic
14.61,100.0,10.65,12.01,71.46,67.74,0.0,1074144,Marcus Samuelsson’s Swedish Apple Cake,Nordic
44.09,100.0,15.26,24.06,53.25,72.13,0.0,611037,Swedish Sticky Chocolate Cake (Kladdkaka),Nordic
41.77,100.0,19.76,23.78,53.27,71.18,0.0,522713,A la Swedish meatballs,Nordic
44.65,100.0,29.64,45.92,30.04,43.68,0.0,1086374,Swedish White Chocolate Cake,Nordic
38.12,34.45,10.71,5.42,18.72,100.0,22350.0,522727,Swedish coffee bread: A Christmas tradition,Nordic
29.44,100.0,21.74,8.57,62.28,40.63,0.0,761006,Finnish Marmalade Muffins,Nordic
25.71,100.0,16.33,9.05,68.33,75.41,0.0,157545,Kanelbullar - Swedish Cinnamon Buns,Nordic
