sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness,id,title,cuisine
64.49,6.46,0.0,0.0,0.0,100.0,600000.0,545893,Midwestern Fried Chicken with Gravy,Southern
37.69,100.0,30.81,14.07,67.76,83.14,150000.0,1044078,Buttermilk Fried Chicken,Southern
100.0,87.41,12.09,43.23,13.05,61.23,0.0,482265,Chicken Fried Steak Patty Melt,Southern
31.37,86.58,11.32,14.0,59.27,100.0,0.0,835729,Southern Ghoulash,Southern
36.83,49.32,34.13,100.0,16.23,55.74,904125.0,33395,Southern Indian Vegetable Curry with Curry Leaves,Southern
42.93,100.0,16.76,30.11,66.39,59.88,79450.0,86006,Justin Wilson's Fried Catfish,Southern
100.0,90.76,32.59,11.0,74.99,81.19,0.0,561925,Jules Gluten-Free All-Purpose Flour Blend,Southern
11.83,100.0,12.83,17.07,70.17,59.35,0.0,555567,Banana-Berry Smoothie,Southern
84.81,30.51,28.14,21.13,29.56,100.0,0.0,763234,Fried Green Tomato Sabich (Foodies Fighting Hunger),Southern
86.57,2.76,0.0,0.0,0.0,100.0,0.0,5471,Confetti Shrimp + Grits,Southern
43.49,0.2,0.0,0.0,0.0,100.0,0.0,487327,"bharwan bhindi , how to make bharwan bhindi | stuffed okra",Southern
100.0,56.74,77.85,51.17,30.7,60.76,14900.0,770512,Shrimp and Grits,Southern
100.0,1.1,17.4,15.48,7.37,42.37,0.0,567808,Coconut Curry Fried Chicken,Southern
22.25,1.89,5.22,32.21,0.72,100.0,0.0,40624,Chicken Fried Steak With Country Gravy,Southern
59.46,100.0,35.4,15.84,69.42,89.04,22350.0,935784,Slow-Cooked Collard Greens in Olive Oil,Southern
33.08,100.0,32.0,27.12,36.13,69.74,0.0,491931,Cornbread Waffle Tacos,Southern
13.56,0.82,3.04,0.0,1.34,100.0,0.0,13119,Slow-Cooked Collard Greens,Southern
40.91,5.05,0.0,0.0,0.0,100.0,0.0,69497,Mini Maple Pecan Pies,Southern
50.06,100.0,32.06,20.01,64.78,68.93,29900.0,757526,Three Sisters Savory Cobbler,Southern
37.45,100.0,34.22,44.7,82.16,88.98,7450.0,1181953,We’ve Found a Healthier Way to Enjoy Your Favorite Southern Side Dish! You’ll Love Our Healthy Southern Greens,Southern
17.9,100.0,20.44,43.82,57.96,95.51,36000.0,668287,Baked Popcorn Chicken with Maple-Dijon Dipping Sauce - Iowa Girl Eats,Southern
54.55,100.0,28.76,23.06,72.77,96.19,0.0,598028,Nashville Hot Fried Chicken,Southern
47.48,4.09,0.0,0.0,0.0,100.0,0.0,100977,Mom's Southern Style Split Pea Soup,Southern
45.57,100.0,65.07,14.65,30.71,74.63,0.0,743017,Fried Green Tomatoes,Southern
16.94,100.0,13.4,16.55,68.85,76.03,0.0,31139,Field Greens with Mississippi Caviar,Southern
79.88,100.0,6.82,5.26,40.35,70.18,0.0,1007926,The Basically Fried Chicken Sandwich,Southern
36.29,7.99,0.0,0.0,0.0,100.0,40000.0,523250,Single-Serving Flaxseed Microwave Cake,Southern
10.92,11.4,19.0,100.0,3.78,9.89,0.0,544860,Two Meat Chili with Scallion Cornbread,Southern
100.0,2.29,24.48,21.76,16.52,79.55,0.0,668309,Sweet Potato Tater Tots,Southern
29.77,100.0,9.74,12.34,43.65,52.95,10000.0,244077,Southern Deep Fried Okra,Southern
100.0,36.44,53.95,65.56,14.63,25.97,0.0,519176,Chicken Fried Steak Fingers,Southern
72.95,100.0,34.46,16.58,79.48,81.25,0.0,13162,Coconut Creamed Collards,Southern
20.56,34.33,14.36,39.71,5.31,100.0,0.0,794482,Coconut Curry Shrimp and Grits,Southern
14.4,100.0,14.21,19.87,69.21,56.4,0.0,13142,Garlicky Braised Collard Greens,Southern
97.4,98.31,43.53,33.46,79.71,100.0,0.0,13197,Collards With Red Onions,Southern
15.27,100.0,25.51,31.16,74.73,81.3,0.0,47205,Post Grape-nuts Banana Crunch Muffins,Southern
100.0,26.48,36.51,26.75,9.34,62.8,0.0,611869,Easy Vegan Microwave Peach Cobbler,Southern
27.65,100.0,28.26,17.01,61.02,56.33,0.0,404098,"Sauteed Collard Greens with Garlic, Peppers and Onions",Southern
100.0,54.65,33.65,40.61,30.83,60.84,0.0,497267,"Succotash with Avocado, Tomato, and Cotija Cheese",Southern
56.62,100.0,36.5,40.72,81.94,74.78,3375000.0,27064,Fried Green Tomatoes With Basil Mayonnaise,Southern
38.37,26.44,0.0,0.0,0.0,100.0,0.0,573148,Slow-Cooker White Bean Soup With Andouille and Collards,Southern
24.32,59.45,19.25,11.81,37.48,100.0,520000.0,474687,"Fried Green Tomato, Bacon and Pimiento Sandwich",Southern
100.0,38.71,6.75,6.01,2.86,65.22,0.0,82422,Buffalo-style Fried Chicken Livers,Southern
100.0,21.87,53.84,30.87,20.33,53.66,0.0,174061,Herb-Scented Roast Turkey with Cornbread Stuffing,Southern
100.0,3.33,0.0,0.0,0.0,65.84,0.0,13130,Toasted Collard Greens & Coconut Salad,Southern
17.97,11.27,57.89,40.93,7.82,100.0,0.0,510957,Jambalaya and Cornbread / White Oak Plantation,Southern
41.81,26.77,10.05,6.46,15.48,100.0,0.0,509919,White Bean Soup with Andouille and Collard Greens,Southern
100.0,1.77,20.48,18.22,8.67,50.92,0.0,95599,Delicious Collard Greens,Southern
75.59,4.31,19.88,17.68,8.41,100.0,0.0,552239,Southern Shrimp and Grits,Southern
