,Cuisine,Ingredient Count,Number of Recipes,Magnitude of Recipes,Decimal Magnitude of Recipes
0,African,5,4,0.008,0.08
1,African,6,4,0.008,0.08
2,African,7,12,0.024,0.24
3,African,8,10,0.02,0.2
4,African,9,13,0.026,0.26
5,African,10,10,0.02,0.2
6,African,11,19,0.038,0.38
7,African,12,18,0.036,0.36
8,African,13,13,0.026,0.26
9,African,14,15,0.03,0.3
10,African,15,16,0.032,0.32
11,African,16,8,0.016,0.16
12,African,17,9,0.018,0.18
13,African,18,5,0.01,0.1
14,African,19,4,0.008,0.08
15,African,20,3,0.006,0.06
16,African,21,2,0.004,0.04
17,African,22,2,0.004,0.04
18,African,26,2,0.004,0.04
19,African,29,1,0.002,0.02
20,American,3,5,0.01,0.1
21,American,4,12,0.024,0.24
22,American,5,17,0.034,0.34
23,American,6,24,0.048,0.48
24,American,7,24,0.048,0.48
25,American,8,27,0.054,0.54
26,American,9,29,0.058,0.58
27,American,10,36,0.072,0.72
28,American,11,32,0.064,0.64
29,American,12,39,0.078,0.78
30,American,13,47,0.094,0.94
31,American,14,35,0.07,0.7
32,American,15,32,0.064,0.64
33,American,16,32,0.064,0.64
34,American,17,31,0.062,0.62
35,American,18,22,0.044,0.44
36,American,19,10,0.02,0.2
37,American,20,11,0.022,0.22
38,American,21,8,0.016,0.16
39,American,22,6,0.012,0.12
40,American,23,7,0.014,0.14
41,American,24,5,0.01,0.1
42,American,25,2,0.004,0.04
43,American,27,2,0.004,0.04
44,American,28,2,0.004,0.04
45,American,31,1,0.002,0.02
46,British,3,3,0.006,0.06
47,British,4,6,0.012,0.12
48,British,5,14,0.028,0.28
49,British,6,21,0.042,0.42
50,British,7,38,0.076,0.76
51,British,8,34,0.068,0.68
52,British,9,69,0.138,1.38
53,British,10,71,0.142,1.42
54,British,11,51,0.102,1.02
55,British,12,45,0.09,0.9
56,British,13,29,0.058,0.58
57,British,14,25,0.05,0.5
58,British,15,29,0.058,0.58
59,British,16,14,0.028,0.28
60,British,17,8,0.016,0.16
61,British,18,11,0.022,0.22
62,British,19,2,0.004,0.04
63,British,20,5,0.01,0.1
64,British,21,4,0.008,0.08
65,British,22,3,0.006,0.06
66,British,24,1,0.002,0.02
67,British,26,1,0.002,0.02
68,British,33,1,0.002,0.02
69,British,36,1,0.002,0.02
70,Cajun,4,3,0.006,0.06
71,Cajun,5,13,0.026,0.26
72,Cajun,6,19,0.038,0.38
