,Name,Type,Cuisine,PODN
0,Vitamin K,good,Southern,209.7956926406926
1,Vitamin K,good,European,172.33086868686888
2,Vitamin K,good,Italian,165.79554435483863
3,Vitamin K,good,Mediterranean,154.19244444444428
4,Vitamin A,good,American,140.06924024640648
5,Vitamin K,good,Latin American,139.66847695390786
6,Vitamin A,good,Thai,132.33325910931174
7,Vitamin A,good,Italian,130.12144016227182
8,Vitamin K,good,Middle Eastern,129.98515212981746
9,Vitamin A,good,European,128.94102040816324
10,Vitamin A,good,Mediterranean,122.65442622950819
11,Vitamin A,good,African,116.84890243902447
12,Vitamin A,good,Indian,111.97670061099804
13,Vitamin A,good,Irish,111.53674134419566
14,Sodium,bad,Korean,109.73789999999994
15,Vitamin A,good,Southern,102.31611940298521
16,Vitamin C,good,Indian,97.55271255060738
17,Vitamin C,good,European,95.6560931174088
18,Vitamin C,good,Mediterranean,92.85689655172422
19,Vitamin C,good,Chinese,92.5706097560976
20,Vitamin K,good,Indian,91.19883064516132
21,Vitamin K,good,Chinese,91.02006072874494
22,Vitamin C,good,French,90.86450413223147
23,Vitamin A,good,Vietnamese,89.37940451745382
24,Vitamin A,good,Chinese,87.1837601626017
25,Vitamin A,good,Korean,85.97854077253228
26,Vitamin A,good,French,85.57757894736852
27,Vitamin C,good,Irish,85.06430084745759
28,Vitamin C,good,Italian,83.78050607287454
29,Vitamin C,good,Thai,83.09739919354837
30,Vitamin K,good,Thai,82.1713645621181
31,Vitamin C,good,American,81.98010162601626
32,Vitamin K,good,Korean,80.84586065573774
33,Vitamin K,good,French,80.37726166328595
34,Manganese,good,Indian,80.28058000000009
35,Vitamin K,good,Spanish,80.05722891566273
36,Vitamin C,good,Spanish,78.74374749498995
37,Vitamin A,good,Middle Eastern,77.72715498938422
38,Vitamin A,good,Jewish,77.67660087719297
39,Protein,good,Jewish,77.37888000000001
40,Vitamin B3,good,Indian,74.24532000000008
41,Vitamin B12,good,Jewish,73.85084967320265
42,Vitamin K,good,American,73.64594320486813
43,Manganese,good,Italian,69.82660000000001
44,Manganese,good,European,68.70851999999998
45,Manganese,good,Mediterranean,68.61457999999993
46,Vitamin C,good,Cajun,66.23437371663243
47,Selenium,good,Eastern European,65.43616935483861
48,Manganese,good,Middle Eastern,64.08631999999999
49,Vitamin A,good,Spanish,63.63710261569418
50,Vitamin K,good,Irish,62.61581780538289
51,Saturated Fat,bad,British,62.588739999999945
52,Manganese,good,Spanish,62.43063999999998
53,Folate,good,Indian,61.621875
54,Manganese,good,Thai,60.827899999999985
55,Vitamin C,good,Southern,60.58736383442264
56,Saturated Fat,bad,Irish,60.51399999999999
57,Protein,good,Eastern European,60.19403999999998
58,Protein,good,Cajun,60.193460000000016
59,Manganese,good,Southern,60.15262000000009
60,Manganese,good,American,58.06248000000004
61,Sodium,bad,Vietnamese,57.795439999999985
62,Vitamin C,good,Latin American,57.02552000000001
63,Protein,good,American,56.84658000000001
64,Vitamin C,good,Middle Eastern,56.650362173038204
65,Protein,good,Irish,56.606199999999994
66,Manganese,good,Chinese,56.57282000000004
67,Vitamin A,good,Cajun,56.54865853658535
68,Selenium,good,Latin American,56.53707865168534
69,Protein,good,Latin American,55.899999999999984
70,Saturated Fat,bad,Eastern European,55.55636000000001
71,Vitamin K,good,Cajun,54.008024439918536
72,Protein,good,Thai,53.54141999999997
73,Saturated Fat,bad,German,53.396600000000014
74,Protein,good,Korean,52.94188000000003
75,Protein,good,Chinese,52.67584000000004
76,Protein,good,Spanish,52.43668000000002
77,Protein,good,French,51.67898000000001
78,Vitamin B12,good,French,51.521477272727275
79,Saturated Fat,bad,Nordic,51.514666666666734
80,Protein,good,Southern,51.444739999999975
81,Sodium,bad,Irish,51.34162000000004
82,Selenium,good,Jewish,51.15463709677425
83,Vitamin B6,good,Irish,51.06128
84,Vitamin C,good,African,50.93052287581699
85,Vitamin C,good,Vietnamese,50.41370221327965
86,Sodium,bad,Spanish,50.40747999999994
87,Vitamin B6,good,Jewish,50.05564
88,Selenium,good,French,50.05251020408158
89,Vitamin B6,good,American,49.66847999999995
90,Zinc,good,Jewish,49.65630522088358
91,Selenium,good,Italian,49.462459677419375
92,Protein,good,Italian,49.39529999999997
93,Vitamin A,good,Latin American,49.385492957746486
94,Vitamin B6,good,European,48.780820000000034
95,Sodium,bad,Nordic,48.61639999999996
96,Vitamin C,good,Korean,48.49416149068324
97,Saturated Fat,bad,Indian,48.486740000000005
98,Manganese,good,African,48.299705882352946
99,Vitamin C,good,Caribbean,48.15553658536585
100,Vitamin K,good,Vietnamese,48.048655804480674
101,Selenium,good,Cajun,48.029572301425645
102,Sodium,bad,German,47.956920000000025
103,Manganese,good,French,47.883919999999996
104,Protein,good,Vietnamese,47.74277999999997
105,Manganese,good,Cajun,47.73294589178356
106,Protein,good,Mediterranean,47.312799999999996
107,Fiber,good,American,47.02024193548389
108,Selenium,good,Chinese,46.97705645161289
109,Protein,good,European,46.94694000000002
110,Vitamin C,good,Eastern European,46.83451219512201
111,Selenium,good,Mediterranean,46.48544534412958
112,Vitamin A,good,Eastern European,46.443874239350926
113,Selenium,good,Korean,46.05088888888892
114,Vitamin B3,good,Thai,45.99076000000001
115,Vitamin B12,good,Spanish,45.62125748502992
116,Saturated Fat,bad,Thai,45.28241999999998
117,Phosphorus,good,Jewish,44.79456000000001
118,Saturated Fat,bad,French,44.72902000000002
119,Protein,good,Indian,44.62438000000006
120,Selenium,good,Thai,44.35959349593498
121,Selenium,good,European,44.13586206896551
122,Vitamin B3,good,Eastern European,43.990859999999984
123,Vitamin B6,good,Chinese,43.98493999999999
124,Vitamin B3,good,Irish,43.937360000000005
125,Vitamin A,good,Caribbean,43.87481308411211
126,Selenium,good,Spanish,43.70799591002045
127,Vitamin B3,good,Chinese,43.57531999999999
128,Sodium,bad,Thai,43.52134
